RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025
91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1508.360839,1512.550717,1520.52855,1527.194702,1532.51296,1534.318467,1541.17552,1538.672013,1534.124244,1523.544022,1516.163144,1495.89684,1489.28145,1477.81775,1489.053181,1478.18361,1477.747927,1474.002337,1475.348479,1473.193438,1462.825971,1453.123343,1437.21888,1425.272719,1425.479044,1441.965241,1456.758943,1463.71665,1470.316808,1477.928318,1478.136943,1466.376829,1472.853438,1484.880962,1501.290532,1502.649979,1513.088397,1520.283858,1523.954748,1519.108101,1516.856034,1516.297756,1511.568751,1499.752434,1485.907014,1480.574945,1485.822345,1491.747871,1501.118468,1506.897547,1517.562606,1522.308699,1521.873594,1519.774419,1520.766699,1529.674009,1525.244386,1525.252899,1520.222459,1523.215449,1525.456523,1532.843481,1539.704904,1549.731524,1542.394361,1541.84506,1532.722726,1543.306282,1555.596095,1553.660259,1562.462864,1564.008076,1583.886202,1586.04489,1593.603099,1610.715819,1641.259488,1681.229186,1717.034015,1746.620946,1762.349872,1774.553852,1787.465264,1797.181302,1801.423672,1806.508215,1813.737477,1835.685514,1859.26021,1883.842205,1900.871334,1904.010495,1903.215471,1896.491028,1879.281099,1873.89029,1886.50234,1893.75442,1904.38078,1886.101055,1897.986895,1906.589522,1918.941356,1925.368806,1926.516424,1923.265768,1903.765309,1890.257312,1881.574796,1895.907806,1904.118857,1925.169281,1929.817238,1944.594609,1948.743105,1959.220628,1948.839029,1938.950129,1931.732915,1927.473765,1925.058141,1923.777325,1934.187197
91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,1278.198997,1274.148244,1281.964306,1293.918199,1304.856574,1312.898922,1316.260402,1320.820929,1324.177419,1325.088093,1321.647635,1318.061701,1311.270331,1312.353793,1320.996551,1331.774165,1336.494653,1328.90345,1322.743183,1322.149638,1322.227643,1325.034977,1316.393847,1309.183953,1302.12764,1308.212727,1317.062723,1325.60003,1328.29991,1332.9028,1339.193859,1340.609095,1345.316714,1344.797237,1352.268323,1355.384452,1366.998947,1371.536262,1372.311778,1376.072851,1381.464741,1389.666471,1389.448461,1391.57277,1386.310779,1383.530057,1388.337123,1386.792381,1385.52367,1381.421679,1389.022932,1394.013103,1402.810463,1406.89986,1412.390642,1407.113902,1409.163899,1405.960571,1405.068369,1406.374469,1413.494726,1423.563566,1433.114313,1435.714912,1430.199634,1430.472874,1437.879836,1453.166186,1463.093372,1467.860215,1474.241308,1486.856335,1493.505942,1498.401723,1504.259119,1526.992075,1565.984269,1598.795475,1639.661263,1652.444903,1668.201514,1675.624044,1674.903349,1690.873093,1687.217601,1720.720897,1733.516509,1747.75561,1733.23143,1729.510289,1769.551767,1817.106405,1820.202458,1801.534916,1775.87944,1782.315231,1774.743474,1778.573585,1791.309497,1807.762165,1814.088502,1821.400149,1818.826718,1831.163146,1825.515711,1817.430609,1811.390444,1820.471991,1832.898776,1845.83005,1857.368826,1866.666289,1860.07068,1861.848933,1876.424247,1888.347827,1866.381759,1847.803783,1844.554993,1864.335907,1874.742541,1887.575244,1899.207483
91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1223.581836,1221.49313,1236.887201,1250.8857,1260.837844,1263.161681,1262.400053,1267.928773,1272.045952,1267.81793,1264.898531,1247.677021,1260.437791,1254.780292,1271.823868,1264.097373,1264.968685,1257.112706,1262.019617,1269.215697,1271.225469,1269.230054,1266.219669,1269.413263,1263.720581,1264.377437,1270.053985,1277.385649,1286.043067,1290.193867,1296.695354,1298.69152,1314.053014,1325.079824,1333.702904,1320.158575,1316.715132,1315.628193,1317.163062,1327.470149,1330.6217,1340.137615,1333.166699,1337.548995,1338.121012,1334.899758,1342.723118,1345.484531,1347.529639,1334.784081,1342.427337,1359.116832,1381.485077,1382.242131,1388.383075,1384.004895,1379.062443,1367.990858,1366.834613,1372.569456,1376.977761,1383.871754,1394.223736,1397.149437,1403.099867,1410.073454,1419.52135,1422.764559,1427.921469,1440.310156,1436.172471,1436.088902,1429.319027,1443.861805,1449.703301,1466.07213,1489.409719,1518.643577,1569.571263,1621.55095,1667.621185,1657.778294,1636.384022,1635.198455,1654.970933,1666.518932,1663.733315,1673.71893,1699.908782,1724.669689,1738.349309,1725.502988,1720.507655,1706.415865,1710.06449,1700.699237,1708.65798,1707.138867,1720.890016,1724.756044,1739.38455,1751.56673,1753.348152,1760.162149,1757.190589,1782.800194,1775.150915,1771.755545,1758.811608,1763.533291,1770.147026,1786.35766,1803.828883,1814.568276,1818.540425,1816.728734,1819.280433,1824.685102,1820.031417,1808.19363,1785.807537,1801.010284,1799.690799
93144,6,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139.355236,1142.411429,1141.929678,1149.95149,1168.876246,1190.834766,1203.855708,1208.219934,1207.964756,1209.046042,1231.366277,1238.886897,1248.731063,1266.108054,1304.405373,1331.640737,1345.411213,1330.19879,1337.072871,1338.783943,1373.984118,1389.293276,1390.741855,1380.795671,1384.373746,1388.233254,1409.349549,1411.428908,1415.447308,1414.26827,1416.157804,1425.766739,1429.926103,1430.731963,1427.818423,1425.297468,1438.166647,1454.355246,1467.620876,1459.493583,1452.167255,1436.799034,1443.458036,1457.229396,1486.121034,1504.990133,1499.725504
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,,2105.495145,2133.757774,2160.99431,2183.560141,2173.63277,2181.590382,2157.950406,2162.085453,2150.186515,2153.779853,2158.285585,2149.418003,2172.271046,2162.009501,2182.843348,2185.876079,2224.116949,2195.618155,2193.243592,2166.977984,2164.976165,2148.008441,2152.642661,2167.387188,2181.00322,2190.879984,2199.51882,2207.812495,2212.234977,2228.855281,2223.344428,2227.405351,2206.786527,2225.870118,2209.636402,2230.081134,2214.126189,2268.698585,2294.255903,2315.869768,2305.544135,2293.227003,2316.633428,2319.659949,2330.826061,2329.84289,2315.779463,2290.939123,2297.798652,2293.964413,2299.292082,2252.366658,2226.450241,2196.753597,2164.546126,2135.552995,2118.768649,2110.122596,2109.821766,2111.603841,2148.931374,2193.856331,2241.146512,2268.216177,2297.810367,2333.045442,2362.723751,2383.805751,2394.505112,2402.642478,2412.715006,2452.68592,2515.013503,2615.883845,2673.343509,2723.860379,2727.094022,2737.19017,2714.352466,2685.295333,2646.959856,2640.560139,2651.566117,2687.072413,2727.175785,2761.143931,2771.75086,2778.74522,2795.008166,2801.531656,2787.5494,2749.518377,2743.167654,2737.019675,2790.481526,2805.311016,2871.613365,2898.042277,2956.641639,2951.236587,2917.331641,2872.73161,2825.975389,2804.405018,2848.535701,2885.2089,2938.048846
92593,8,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,1196.576072,1206.912861,1195.797045,1192.983813,1203.899549,1219.092467,1233.048345,1237.596952,1235.701556,1240.624979,1239.662806,1248.447898,1252.471706,1260.038545,1263.07711,1267.910752,1269.064938,1278.257092,1281.871839,1284.817658,1281.370527,1291.044985,1294.530506,1289.640917,1278.997072,1279.153105,1293.617777,1304.872573,1304.883401,1306.583737,1302.983099,1309.072936,1313.984113,1313.276359,1311.838697,1306.547452,1309.48785,1320.619475,1329.485002,1341.038008,1340.459802,1345.5057,1345.312929,1350.283877,1348.979005,1348.586613,1351.813313,1357.477455,1354.73255,1356.753824,1359.468571,1373.905974,1376.595209,1377.143577,1382.532629,1383.58818,1384.362116,1374.756057,1380.308507,1380.672574,1388.525988,1394.119052,1411.453525,1415.3693,1412.340132,1400.146015,1413.02872,1415.815531,1424.980141,1418.58549,1416.033344,1414.882224,1426.787998,1441.972471,1455.747439,1469.884534,1515.288477,,,,1683.574357,1714.347421,1709.69803,1725.753449,1722.182096,1737.39798,1748.495069,1767.34327,1781.087915,1796.226074,1808.804017,1801.039815,1800.105495,1785.587508,1783.480677,1771.174197,1781.785361,1792.950962,1800.728064,1801.256201,1806.010793,1808.469716,1808.983321,1808.981423,1795.257072,1782.062805,1752.297304,1749.23565,1754.982355,1768.677003,1785.482456,1778.685099,1783.277422,1781.350409,1778.663687,1759.659034,1746.613451,1729.668114,1727.841982,1712.806157,1714.974164,1702.289737,1700.437045
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.308241,2058.859678,2118.968426,2130.323205,2108.102196,2112.428276,2095.667816,2153.576017,2176.044206,2210.750502,2225.251476,2224.992398,2226.455033,2250.288918,2276.737257,2333.338688,2311.8336,2297.349449,2289.820634,2324.698297,2391.84972,2412.601186,2439.347238,2443.573215,2443.274769,2397.059948,2341.603806,2368.739832,2326.998434,2382.325109,2411.889664,2653.652882,2777.063118,2697.404403,2640.996928,2589.212371,2699.877778
95992,10,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434.796056,2453.953591,2504.330289,2504.314778,,2478.330073,2631.588754,2687.307975,2823.758047,2712.330663,2687.754481,2665.836821,2711.306537,2731.689693,2781.781127,2833.237218,,2787.038159,2797.514926,2822.185254,3018.098918,2968.266667
91926,11,77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,1332.968263,1327.339842,1341.371738,1344.252203,1344.498126,1344.057669,1366.445705,1387.957216,1392.834666,1380.210491,1366.225857,1357.871087,1362.172992,1369.756243,1398.059738,1388.035869,1385.65979,1368.265846,1380.911045,1383.516398,1394.960748,1384.164121,1370.72315,1352.272833,1353.959965,1374.543699,1385.490954,1391.650189,1387.607036,1389.80595,1398.606136,1406.133943,1415.629397,1426.61423,1436.239631,1444.430747,1444.767201,1455.522002,1466.230929,1460.630611,1456.81679,1450.96775,1462.903308,1463.718592,1463.565064,1460.068343,1443.19431,1441.403881,1443.454403,1449.955267,1448.175224,1456.933911,1475.115206,1491.979604,1496.560939,1500.744615,1499.346736,1508.995598,1507.229593,1511.719891,1500.166385,1503.699944,1516.172892,1521.998521,1519.04178,1507.222212,1518.833422,1536.337697,1551.707644,1553.92543,1569.319018,1575.312887,1587.838206,1576.045774,1576.03885,1593.927943,1631.119124,1689.819597,1727.849226,1770.642259,1786.992983,1802.579124,1804.69527,1816.548653,1816.191968,1819.783501,1827.075602,1854.633175,1873.483326,1892.08804,1919.695938,1932.589556,1915.946794,1901.539366,1895.965624,1896.749582,1885.183887,1885.400605,1884.55945,1880.662435,1881.411344,1897.64291,1919.428762,1933.223008,1947.319464,1945.198754,1932.814644,1884.156201,1869.615285,1861.030815,1903.225953,1921.604611,1943.749561,1938.405324,1936.239202,1939.733377,1951.346478,1953.733321,1954.3408,1948.703121,1947.46762,1939.992261,1930.770058
84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.3833998,862.5063148,853.7238009,845.3398229,838.5062881,857.3111687,884.09609,903.4362321,901.4156986,902.7260541,895.2795988,907.3505467,922.1535245,949.618441,972.3176743,982.9279293,952.2343161,947.6165888,943.7889469,975.4678962,987.8967302,1002.166164,1013.293984,1000.916477,998.9160194,1013.586786,1035.416433,1039.590536,1024.680791,1006.382383,1001.464556,991.0173641,1008.26814,1042.935665,1073.486123,1077.858095,1072.235565,1101.559,1118.960247,1139.66844,1164.570567,1190.69533,1158.352192,1121.416624,1137.233254,1187.731761,1230.289471,1224.12886,1224.914242,1227.365079
