GEOID,NAME,year,total_25plus,bachelors_plus,percent_bachelors_plus
18097320800,"Census Tract 3208, Marion County, Indiana",2015,2135,1561,73.11475409836065
18097321200,"Census Tract 3212, Marion County, Indiana",2015,3766,2930,77.80138077535847
18097330401,"Census Tract 3304.01, Marion County, Indiana",2015,4136,2260,54.642166344294004
18097330900,"Census Tract 3309, Marion County, Indiana",2015,2915,399,13.687821612349914
18097340101,"Census Tract 3401.01, Marion County, Indiana",2015,2620,732,27.938931297709924
18097340600,"Census Tract 3406, Marion County, Indiana",2015,3545,492,13.8787023977433
18097341100,"Census Tract 3411, Marion County, Indiana",2015,1465,99,6.757679180887372
18097342000,"Census Tract 3420, Marion County, Indiana",2015,4246,1160,27.319830428638717
18097350800,"Census Tract 3508, Marion County, Indiana",2015,1285,47,3.657587548638132
18097351200,"Census Tract 3512, Marion County, Indiana",2015,1409,89,6.31653655074521
18097352100,"Census Tract 3521, Marion County, Indiana",2015,1265,104,8.221343873517787
18097356200,"Census Tract 3562, Marion County, Indiana",2015,2503,760,30.36356372353176
18097357900,"Census Tract 3579, Marion County, Indiana",2015,3004,566,18.841544607190414
18097360101,"Census Tract 3601.01, Marion County, Indiana",2015,1159,57,4.918032786885246
18097360402,"Census Tract 3604.02, Marion County, Indiana",2015,1165,104,8.927038626609441
18097360700,"Census Tract 3607, Marion County, Indiana",2015,1329,538,40.481565086531226
18097360900,"Census Tract 3609, Marion County, Indiana",2015,3741,727,19.433306602512697
18097361000,"Census Tract 3610, Marion County, Indiana",2015,1388,779,56.12391930835735
18097310201,"Census Tract 3102.01, Marion County, Indiana",2015,2379,987,41.488020176544765
18097352400,"Census Tract 3524, Marion County, Indiana",2015,2202,229,10.399636693914623
18097352700,"Census Tract 3527, Marion County, Indiana",2015,1530,285,18.627450980392158
18097330700,"Census Tract 3307, Marion County, Indiana",2015,4222,117,2.7711984841307435
18097350100,"Census Tract 3501, Marion County, Indiana",2015,845,106,12.544378698224852
18097340400,"Census Tract 3404, Marion County, Indiana",2015,2145,110,5.128205128205129
18097342400,"Census Tract 3424, Marion County, Indiana",2015,1145,57,4.978165938864628
18097342500,"Census Tract 3425, Marion County, Indiana",2015,3113,189,6.071313845165435
18097350500,"Census Tract 3505, Marion County, Indiana",2015,1651,121,7.328891580860085
18097350600,"Census Tract 3506, Marion County, Indiana",2015,3056,180,5.890052356020942
18097351600,"Census Tract 3516, Marion County, Indiana",2015,1624,718,44.21182266009852
18097352500,"Census Tract 3525, Marion County, Indiana",2015,2054,591,28.773125608568648
18097352800,"Census Tract 3528, Marion County, Indiana",2015,585,70,11.965811965811966
18097353600,"Census Tract 3536, Marion County, Indiana",2015,1377,99,7.189542483660131
18097354900,"Census Tract 3549, Marion County, Indiana",2015,1810,89,4.917127071823204
18097355900,"Census Tract 3559, Marion County, Indiana",2015,1510,420,27.814569536423843
18097357000,"Census Tract 3570, Marion County, Indiana",2015,1597,111,6.950532247964934
18097360102,"Census Tract 3601.02, Marion County, Indiana",2015,1319,138,10.462471569370736
18097380700,"Census Tract 3807, Marion County, Indiana",2015,3658,448,12.247129579004921
18097361400,"Census Tract 3614, Marion County, Indiana",2015,7250,1367,18.855172413793102
18097361600,"Census Tract 3616, Marion County, Indiana",2015,5466,1678,30.698865715331138
18097380300,"Census Tract 3803, Marion County, Indiana",2015,3130,210,6.7092651757188495
18097381001,"Census Tract 3810.01, Marion County, Indiana",2015,4793,936,19.528479031921552
18097380100,"Census Tract 3801, Marion County, Indiana",2015,11213,4124,36.77873896370284
18097381201,"Census Tract 3812.01, Marion County, Indiana",2015,4974,1775,35.68556493767591
18097381205,"Census Tract 3812.05, Marion County, Indiana",2015,4080,760,18.627450980392158
18097321400,"Census Tract 3214, Marion County, Indiana",2015,4125,2221,53.842424242424244
18097322300,"Census Tract 3223, Marion County, Indiana",2015,1878,1243,66.1874334398296
18097330105,"Census Tract 3301.05, Marion County, Indiana",2015,3587,1632,45.497630331753555
18097340108,"Census Tract 3401.08, Marion County, Indiana",2015,1212,109,8.993399339933994
18097350400,"Census Tract 3504, Marion County, Indiana",2015,1893,476,25.145272054939248
18097350700,"Census Tract 3507, Marion County, Indiana",2015,919,59,6.420021762785637
18097350900,"Census Tract 3509, Marion County, Indiana",2015,833,150,18.007202881152462
18097351700,"Census Tract 3517, Marion County, Indiana",2015,1712,342,19.976635514018692
18097361100,"Census Tract 3611, Marion County, Indiana",2015,2239,939,41.93836534167039
18097370201,"Census Tract 3702.01, Marion County, Indiana",2015,2583,287,11.11111111111111
18097381002,"Census Tract 3810.02, Marion County, Indiana",2015,2157,663,30.737134909596662
18097390200,"Census Tract 3902, Marion County, Indiana",2015,2196,669,30.46448087431694
18097390403,"Census Tract 3904.03, Marion County, Indiana",2015,6422,2864,44.596698847711
18097310103,"Census Tract 3101.03, Marion County, Indiana",2015,4422,2775,62.75440976933514
18097310105,"Census Tract 3101.05, Marion County, Indiana",2015,2500,1152,46.08
18097310108,"Census Tract 3101.08, Marion County, Indiana",2015,2600,1599,61.5
18097320203,"Census Tract 3202.03, Marion County, Indiana",2015,2535,1273,50.21696252465483
18097320500,"Census Tract 3205, Marion County, Indiana",2015,2039,1157,56.74350171652771
18097320901,"Census Tract 3209.01, Marion County, Indiana",2015,4272,2222,52.01310861423221
18097360301,"Census Tract 3603.01, Marion County, Indiana",2015,2136,316,14.794007490636703
18097360401,"Census Tract 3604.01, Marion County, Indiana",2015,3480,319,9.166666666666666
18097380501,"Census Tract 3805.01, Marion County, Indiana",2015,1697,325,19.15144372421921
18097390402,"Census Tract 3904.02, Marion County, Indiana",2015,7925,3081,38.87697160883281
18097321300,"Census Tract 3213, Marion County, Indiana",2015,1867,1448,77.55757900374932
18097330103,"Census Tract 3301.03, Marion County, Indiana",2015,4075,2149,52.736196319018404
18097330600,"Census Tract 3306, Marion County, Indiana",2015,3024,584,19.312169312169313
18097322600,"Census Tract 3226, Marion County, Indiana",2015,2350,311,13.23404255319149
18097321100,"Census Tract 3211, Marion County, Indiana",2015,2643,1328,50.24593265228906
18097320400,"Census Tract 3204, Marion County, Indiana",2015,2232,884,39.60573476702509
18097321002,"Census Tract 3210.02, Marion County, Indiana",2015,2983,1429,47.90479383171304
18097380600,"Census Tract 3806, Marion County, Indiana",2015,3470,592,17.060518731988473
18097321800,"Census Tract 3218, Marion County, Indiana",2015,2707,2138,78.98042113040266
18097322200,"Census Tract 3222, Marion County, Indiana",2015,1394,628,45.05021520803443
18097330203,"Census Tract 3302.03, Marion County, Indiana",2015,4099,2760,67.33349597462797
18097341902,"Census Tract 3419.02, Marion County, Indiana",2015,2560,702,27.421875
18097330204,"Census Tract 3302.04, Marion County, Indiana",2015,3997,1966,49.18689016762572
18097330500,"Census Tract 3305, Marion County, Indiana",2015,4411,1220,27.65812740875085
18097352300,"Census Tract 3523, Marion County, Indiana",2015,756,28,3.7037037037037037
18097355100,"Census Tract 3551, Marion County, Indiana",2015,1156,60,5.190311418685121
18097355300,"Census Tract 3553, Marion County, Indiana",2015,1764,330,18.707482993197278
18097360602,"Census Tract 3606.02, Marion County, Indiana",2015,4407,799,18.130247333787157
18097340800,"Census Tract 3408, Marion County, Indiana",2015,1300,312,24
18097351500,"Census Tract 3515, Marion County, Indiana",2015,1220,249,20.40983606557377
18097320903,"Census Tract 3209.03, Marion County, Indiana",2015,2769,335,12.098230408089563
18097360601,"Census Tract 3606.01, Marion County, Indiana",2015,3448,663,19.228538283062644
18097320106,"Census Tract 3201.06, Marion County, Indiana",2015,1632,858,52.5735294117647
18097322500,"Census Tract 3225, Marion County, Indiana",2015,1080,188,17.40740740740741
18097342200,"Census Tract 3422, Marion County, Indiana",2015,3344,226,6.758373205741627
18097355600,"Census Tract 3556, Marion County, Indiana",2015,1206,25,2.0729684908789388
