GEOID,NAME,year,total_units,owner_occupied,renter_occupied,owner_occupancy_rate,renter_occupancy_rate,rent_burdened,total_renters,percent_rent_burdened
18097320800,"Census Tract 3208, Marion County, Indiana",2015,1195,1119,76,93.64016736401673,6.359832635983263,9,76,11.842105263157896
18097321200,"Census Tract 3212, Marion County, Indiana",2015,2201,1734,467,78.78237164925034,21.21762835074966,69,467,14.775160599571734
18097330401,"Census Tract 3304.01, Marion County, Indiana",2015,2172,1573,599,72.42173112338858,27.578268876611418,316,599,52.75459098497496
18097330900,"Census Tract 3309, Marion County, Indiana",2015,1885,652,1233,34.58885941644562,65.41114058355437,736,1233,59.69180859691809
18097340101,"Census Tract 3401.01, Marion County, Indiana",2015,1370,1132,238,82.62773722627738,17.37226277372263,105,238,44.11764705882353
18097340600,"Census Tract 3406, Marion County, Indiana",2015,1814,928,886,51.15766262403528,48.84233737596472,627,886,70.76749435665914
18097341100,"Census Tract 3411, Marion County, Indiana",2015,840,441,399,52.5,47.5,252,399,63.1578947368421
18097342000,"Census Tract 3420, Marion County, Indiana",2015,2184,1923,261,88.04945054945055,11.95054945054945,211,261,80.84291187739464
18097350800,"Census Tract 3508, Marion County, Indiana",2015,944,237,707,25.10593220338983,74.89406779661017,392,707,55.445544554455445
18097351200,"Census Tract 3512, Marion County, Indiana",2015,824,321,503,38.95631067961165,61.04368932038835,350,503,69.58250497017893
18097352100,"Census Tract 3521, Marion County, Indiana",2015,756,353,403,46.6931216931217,53.3068783068783,315,403,78.1637717121588
18097356200,"Census Tract 3562, Marion County, Indiana",2015,830,320,510,38.55421686746988,61.44578313253012,227,510,44.509803921568626
18097357900,"Census Tract 3579, Marion County, Indiana",2015,1644,992,652,60.34063260340633,39.65936739659367,382,652,58.58895705521472
18097360101,"Census Tract 3601.01, Marion County, Indiana",2015,873,284,589,32.531500572737684,67.46849942726232,353,589,59.9320882852292
18097360402,"Census Tract 3604.02, Marion County, Indiana",2015,615,308,307,50.08130081300813,49.91869918699187,183,307,59.60912052117264
18097360700,"Census Tract 3607, Marion County, Indiana",2015,774,627,147,81.0077519379845,18.992248062015506,63,147,42.857142857142854
18097360900,"Census Tract 3609, Marion County, Indiana",2015,2232,1317,915,59.005376344086024,40.994623655913976,597,915,65.24590163934427
18097361000,"Census Tract 3610, Marion County, Indiana",2015,848,715,133,84.31603773584905,15.683962264150944,39,133,29.32330827067669
18097310201,"Census Tract 3102.01, Marion County, Indiana",2015,1373,889,484,64.74872541879097,35.25127458120903,345,484,71.28099173553719
18097352400,"Census Tract 3524, Marion County, Indiana",2015,1338,624,714,46.63677130044843,53.36322869955157,518,714,72.54901960784314
18097352700,"Census Tract 3527, Marion County, Indiana",2015,1049,353,696,33.6510962821735,66.3489037178265,287,696,41.235632183908045
18097330700,"Census Tract 3307, Marion County, Indiana",2015,2475,1814,661,73.29292929292929,26.707070707070706,149,661,22.54160363086233
18097350100,"Census Tract 3501, Marion County, Indiana",2015,618,310,308,50.16181229773463,49.83818770226537,182,308,59.09090909090909
18097340400,"Census Tract 3404, Marion County, Indiana",2015,1204,542,662,45.016611295681066,54.983388704318934,407,662,61.48036253776435
18097342400,"Census Tract 3424, Marion County, Indiana",2015,634,266,368,41.95583596214511,58.04416403785489,196,368,53.26086956521739
18097342500,"Census Tract 3425, Marion County, Indiana",2015,1688,1128,560,66.82464454976304,33.175355450236964,365,560,65.17857142857143
18097350500,"Census Tract 3505, Marion County, Indiana",2015,887,397,490,44.7576099210823,55.2423900789177,207,490,42.244897959183675
18097350600,"Census Tract 3506, Marion County, Indiana",2015,1808,1082,726,59.84513274336283,40.15486725663717,485,726,66.80440771349862
18097351600,"Census Tract 3516, Marion County, Indiana",2015,928,411,517,44.28879310344828,55.71120689655172,241,517,46.61508704061895
18097352500,"Census Tract 3525, Marion County, Indiana",2015,1349,807,542,59.822090437361005,40.177909562638995,371,542,68.45018450184502
18097352800,"Census Tract 3528, Marion County, Indiana",2015,414,142,272,34.29951690821256,65.70048309178743,174,272,63.970588235294116
18097353600,"Census Tract 3536, Marion County, Indiana",2015,859,389,470,45.28521536670547,54.71478463329453,281,470,59.787234042553195
18097354900,"Census Tract 3549, Marion County, Indiana",2015,988,399,589,40.38461538461539,59.61538461538461,356,589,60.44142614601019
18097355900,"Census Tract 3559, Marion County, Indiana",2015,867,427,440,49.25028835063437,50.74971164936563,252,440,57.27272727272727
18097357000,"Census Tract 3570, Marion County, Indiana",2015,894,377,517,42.17002237136465,57.82997762863535,414,517,80.07736943907156
18097360102,"Census Tract 3601.02, Marion County, Indiana",2015,1016,447,569,43.996062992125985,56.003937007874015,302,569,53.07557117750439
18097380700,"Census Tract 3807, Marion County, Indiana",2015,2238,977,1261,43.655049151027704,56.344950848972296,772,1261,61.221252973830296
18097361400,"Census Tract 3614, Marion County, Indiana",2015,3971,2780,1191,70.0075547720977,29.99244522790229,451,1191,37.86733837111671
18097361600,"Census Tract 3616, Marion County, Indiana",2015,2845,2740,105,96.30931458699473,3.6906854130052724,65,105,61.904761904761905
18097380300,"Census Tract 3803, Marion County, Indiana",2015,1814,760,1054,41.89636163175303,58.10363836824697,456,1054,43.26375711574953
18097381001,"Census Tract 3810.01, Marion County, Indiana",2015,2924,935,1989,31.976744186046513,68.02325581395348,810,1989,40.723981900452486
18097380100,"Census Tract 3801, Marion County, Indiana",2015,6618,4946,1672,74.7355696585071,25.264430341492897,551,1672,32.95454545454545
18097381201,"Census Tract 3812.01, Marion County, Indiana",2015,2985,2047,938,68.57621440536013,31.423785594639867,456,938,48.61407249466951
18097381205,"Census Tract 3812.05, Marion County, Indiana",2015,2564,1057,1507,41.22464898595944,58.77535101404056,895,1507,59.389515593895155
18097321400,"Census Tract 3214, Marion County, Indiana",2015,2490,1663,827,66.78714859437751,33.21285140562249,254,827,30.71342200725514
18097322300,"Census Tract 3223, Marion County, Indiana",2015,1128,771,357,68.35106382978724,31.648936170212767,82,357,22.969187675070028
