GEOID,NAME,variable,estimate,moe,year
18097310103,"Census Tract 3101.03, Marion County, Indiana",B19013_001,97167,16142,2015
18097310104,"Census Tract 3101.04, Marion County, Indiana",B19013_001,50625,9677,2015
18097310105,"Census Tract 3101.05, Marion County, Indiana",B19013_001,50260,7272,2015
18097310106,"Census Tract 3101.06, Marion County, Indiana",B19013_001,35899,2502,2015
18097310108,"Census Tract 3101.08, Marion County, Indiana",B19013_001,85145,6571,2015
18097310110,"Census Tract 3101.10, Marion County, Indiana",B19013_001,48633,4931,2015
18097310111,"Census Tract 3101.11, Marion County, Indiana",B19013_001,46793,5396,2015
18097310201,"Census Tract 3102.01, Marion County, Indiana",B19013_001,56339,12487,2015
18097310203,"Census Tract 3102.03, Marion County, Indiana",B19013_001,34275,7149,2015
18097310204,"Census Tract 3102.04, Marion County, Indiana",B19013_001,56651,10932,2015
18097310305,"Census Tract 3103.05, Marion County, Indiana",B19013_001,36193,5059,2015
18097310306,"Census Tract 3103.06, Marion County, Indiana",B19013_001,30356,3541,2015
18097310308,"Census Tract 3103.08, Marion County, Indiana",B19013_001,50509,6374,2015
18097310309,"Census Tract 3103.09, Marion County, Indiana",B19013_001,31642,4791,2015
18097310310,"Census Tract 3103.10, Marion County, Indiana",B19013_001,54784,7040,2015
18097310311,"Census Tract 3103.11, Marion County, Indiana",B19013_001,62455,10384,2015
18097310312,"Census Tract 3103.12, Marion County, Indiana",B19013_001,40323,8448,2015
18097320105,"Census Tract 3201.05, Marion County, Indiana",B19013_001,51467,5898,2015
18097320106,"Census Tract 3201.06, Marion County, Indiana",B19013_001,56250,23790,2015
18097320107,"Census Tract 3201.07, Marion County, Indiana",B19013_001,83714,8514,2015
18097320108,"Census Tract 3201.08, Marion County, Indiana",B19013_001,26490,4466,2015
18097320109,"Census Tract 3201.09, Marion County, Indiana",B19013_001,62065,15095,2015
18097320202,"Census Tract 3202.02, Marion County, Indiana",B19013_001,92434,14236,2015
18097320203,"Census Tract 3202.03, Marion County, Indiana",B19013_001,41845,6694,2015
18097320204,"Census Tract 3202.04, Marion County, Indiana",B19013_001,35530,6568,2015
18097320301,"Census Tract 3203.01, Marion County, Indiana",B19013_001,64398,14680,2015
18097320303,"Census Tract 3203.03, Marion County, Indiana",B19013_001,47278,4928,2015
18097320304,"Census Tract 3203.04, Marion County, Indiana",B19013_001,77344,16381,2015
18097320400,"Census Tract 3204, Marion County, Indiana",B19013_001,38721,6300,2015
18097320500,"Census Tract 3205, Marion County, Indiana",B19013_001,42428,13656,2015
18097320600,"Census Tract 3206, Marion County, Indiana",B19013_001,51012,10538,2015
18097320700,"Census Tract 3207, Marion County, Indiana",B19013_001,66625,8977,2015
18097320800,"Census Tract 3208, Marion County, Indiana",B19013_001,116250,21667,2015
18097320901,"Census Tract 3209.01, Marion County, Indiana",B19013_001,48433,7750,2015
18097320902,"Census Tract 3209.02, Marion County, Indiana",B19013_001,36962,4139,2015
18097320903,"Census Tract 3209.03, Marion County, Indiana",B19013_001,35120,5078,2015
18097321001,"Census Tract 3210.01, Marion County, Indiana",B19013_001,38333,11157,2015
18097321002,"Census Tract 3210.02, Marion County, Indiana",B19013_001,54750,9219,2015
18097321100,"Census Tract 3211, Marion County, Indiana",B19013_001,56580,6232,2015
18097321200,"Census Tract 3212, Marion County, Indiana",B19013_001,109391,16119,2015
18097321300,"Census Tract 3213, Marion County, Indiana",B19013_001,70109,13989,2015
18097321400,"Census Tract 3214, Marion County, Indiana",B19013_001,57755,15458,2015
18097321600,"Census Tract 3216, Marion County, Indiana",B19013_001,38352,14137,2015
18097321700,"Census Tract 3217, Marion County, Indiana",B19013_001,52878,7658,2015
18097321800,"Census Tract 3218, Marion County, Indiana",B19013_001,97582,13174,2015
18097321900,"Census Tract 3219, Marion County, Indiana",B19013_001,96683,16485,2015
18097322000,"Census Tract 3220, Marion County, Indiana",B19013_001,38591,5955,2015
18097322100,"Census Tract 3221, Marion County, Indiana",B19013_001,42522,6167,2015
18097322200,"Census Tract 3222, Marion County, Indiana",B19013_001,48355,13092,2015
18097322300,"Census Tract 3223, Marion County, Indiana",B19013_001,71700,4640,2015
18097322400,"Census Tract 3224, Marion County, Indiana",B19013_001,40307,4400,2015
18097322500,"Census Tract 3225, Marion County, Indiana",B19013_001,30232,6873,2015
18097322600,"Census Tract 3226, Marion County, Indiana",B19013_001,21361,2590,2015
18097322700,"Census Tract 3227, Marion County, Indiana",B19013_001,41731,7817,2015
18097330103,"Census Tract 3301.03, Marion County, Indiana",B19013_001,51182,5424,2015
18097330105,"Census Tract 3301.05, Marion County, Indiana",B19013_001,53003,5725,2015
18097330106,"Census Tract 3301.06, Marion County, Indiana",B19013_001,31648,4480,2015
18097330107,"Census Tract 3301.07, Marion County, Indiana",B19013_001,91250,21531,2015
18097330108,"Census Tract 3301.08, Marion County, Indiana",B19013_001,125398,23700,2015
18097330109,"Census Tract 3301.09, Marion County, Indiana",B19013_001,88125,9303,2015
18097330202,"Census Tract 3302.02, Marion County, Indiana",B19013_001,42783,8891,2015
18097330203,"Census Tract 3302.03, Marion County, Indiana",B19013_001,121379,29233,2015
18097330204,"Census Tract 3302.04, Marion County, Indiana",B19013_001,80234,15716,2015
18097330206,"Census Tract 3302.06, Marion County, Indiana",B19013_001,87364,12019,2015
18097330208,"Census Tract 3302.08, Marion County, Indiana",B19013_001,68641,7152,2015
18097330209,"Census Tract 3302.09, Marion County, Indiana",B19013_001,60788,5730,2015
18097330401,"Census Tract 3304.01, Marion County, Indiana",B19013_001,93100,22439,2015
18097330500,"Census Tract 3305, Marion County, Indiana",B19013_001,38449,5735,2015
18097330600,"Census Tract 3306, Marion County, Indiana",B19013_001,33256,3494,2015
18097330700,"Census Tract 3307, Marion County, Indiana",B19013_001,29874,8874,2015
18097330803,"Census Tract 3308.03, Marion County, Indiana",B19013_001,25000,8808,2015
18097330804,"Census Tract 3308.04, Marion County, Indiana",B19013_001,21957,8344,2015
18097330805,"Census Tract 3308.05, Marion County, Indiana",B19013_001,21183,2508,2015
18097330806,"Census Tract 3308.06, Marion County, Indiana",B19013_001,26948,3017,2015
18097330900,"Census Tract 3309, Marion County, Indiana",B19013_001,30468,3300,2015
18097331000,"Census Tract 3310, Marion County, Indiana",B19013_001,34578,2870,2015
18097340101,"Census Tract 3401.01, Marion County, Indiana",B19013_001,59458,2959,2015
18097340102,"Census Tract 3401.02, Marion County, Indiana",B19013_001,30313,3455,2015
18097340108,"Census Tract 3401.08, Marion County, Indiana",B19013_001,23190,4577,2015
18097340109,"Census Tract 3401.09, Marion County, Indiana",B19013_001,52461,7582,2015
18097340110,"Census Tract 3401.10, Marion County, Indiana",B19013_001,35111,4271,2015
18097340111,"Census Tract 3401.11, Marion County, Indiana",B19013_001,63504,4397,2015
18097340112,"Census Tract 3401.12, Marion County, Indiana",B19013_001,40425,2851,2015
18097340113,"Census Tract 3401.13, Marion County, Indiana",B19013_001,53576,3474,2015
18097340114,"Census Tract 3401.14, Marion County, Indiana",B19013_001,66101,7055,2015
18097340201,"Census Tract 3402.01, Marion County, Indiana",B19013_001,40938,8031,2015
18097340202,"Census Tract 3402.02, Marion County, Indiana",B19013_001,31972,2829,2015
18097340300,"Census Tract 3403, Marion County, Indiana",B19013_001,26630,7558,2015
18097340400,"Census Tract 3404, Marion County, Indiana",B19013_001,29714,6288,2015
18097340500,"Census Tract 3405, Marion County, Indiana",B19013_001,31622,6327,2015
18097340600,"Census Tract 3406, Marion County, Indiana",B19013_001,30951,2032,2015
18097340700,"Census Tract 3407, Marion County, Indiana",B19013_001,30485,5818,2015
18097340800,"Census Tract 3408, Marion County, Indiana",B19013_001,42212,9323,2015
18097340901,"Census Tract 3409.01, Marion County, Indiana",B19013_001,54079,7578,2015
18097340902,"Census Tract 3409.02, Marion County, Indiana",B19013_001,30137,8299,2015
18097341000,"Census Tract 3410, Marion County, Indiana",B19013_001,63750,6941,2015
18097341100,"Census Tract 3411, Marion County, Indiana",B19013_001,24444,3784,2015
18097341200,"Census Tract 3412, Marion County, Indiana",B19013_001,19615,4448,2015
18097341600,"Census Tract 3416, Marion County, Indiana",B19013_001,21648,4698,2015
18097341700,"Census Tract 3417, Marion County, Indiana",B19013_001,25904,5956,2015
18097341902,"Census Tract 3419.02, Marion County, Indiana",B19013_001,55538,4015,2015
18097341903,"Census Tract 3419.03, Marion County, Indiana",B19013_001,28119,6049,2015
18097341904,"Census Tract 3419.04, Marion County, Indiana",B19013_001,33828,4758,2015
18097342000,"Census Tract 3420, Marion County, Indiana",B19013_001,59444,11093,2015
18097342101,"Census Tract 3421.01, Marion County, Indiana",B19013_001,48779,7209,2015
18097342200,"Census Tract 3422, Marion County, Indiana",B19013_001,26418,2762,2015
18097342300,"Census Tract 3423, Marion County, Indiana",B19013_001,26962,2962,2015
18097342400,"Census Tract 3424, Marion County, Indiana",B19013_001,31538,5515,2015
18097342500,"Census Tract 3425, Marion County, Indiana",B19013_001,36024,6291,2015
18097342600,"Census Tract 3426, Marion County, Indiana",B19013_001,30674,5860,2015
18097350100,"Census Tract 3501, Marion County, Indiana",B19013_001,27200,8778,2015
18097350300,"Census Tract 3503, Marion County, Indiana",B19013_001,14291,2875,2015
18097350400,"Census Tract 3504, Marion County, Indiana",B19013_001,32835,6150,2015
18097350500,"Census Tract 3505, Marion County, Indiana",B19013_001,23723,6423,2015
18097350600,"Census Tract 3506, Marion County, Indiana",B19013_001,24837,6093,2015
18097350700,"Census Tract 3507, Marion County, Indiana",B19013_001,20980,4736,2015
18097350800,"Census Tract 3508, Marion County, Indiana",B19013_001,16089,1818,2015
18097350900,"Census Tract 3509, Marion County, Indiana",B19013_001,32031,3995,2015
18097351000,"Census Tract 3510, Marion County, Indiana",B19013_001,20486,10223,2015
18097351200,"Census Tract 3512, Marion County, Indiana",B19013_001,19342,5527,2015
18097351500,"Census Tract 3515, Marion County, Indiana",B19013_001,29583,7511,2015
18097351600,"Census Tract 3516, Marion County, Indiana",B19013_001,40667,9592,2015
18097351700,"Census Tract 3517, Marion County, Indiana",B19013_001,26667,7672,2015
18097351900,"Census Tract 3519, Marion County, Indiana",B19013_001,21429,7112,2015
18097352100,"Census Tract 3521, Marion County, Indiana",B19013_001,23708,2656,2015
18097352300,"Census Tract 3523, Marion County, Indiana",B19013_001,21087,3346,2015
18097352400,"Census Tract 3524, Marion County, Indiana",B19013_001,28639,5159,2015
18097352500,"Census Tract 3525, Marion County, Indiana",B19013_001,34623,6929,2015
18097352600,"Census Tract 3526, Marion County, Indiana",B19013_001,22054,7206,2015
18097352700,"Census Tract 3527, Marion County, Indiana",B19013_001,25027,13361,2015
18097352800,"Census Tract 3528, Marion County, Indiana",B19013_001,24216,1950,2015
18097353300,"Census Tract 3533, Marion County, Indiana",B19013_001,28594,4218,2015
18097353500,"Census Tract 3535, Marion County, Indiana",B19013_001,11365,2254,2015
18097353600,"Census Tract 3536, Marion County, Indiana",B19013_001,18708,2881,2015
18097354200,"Census Tract 3542, Marion County, Indiana",B19013_001,50634,14484,2015
18097354400,"Census Tract 3544, Marion County, Indiana",B19013_001,50833,17531,2015
18097354500,"Census Tract 3545, Marion County, Indiana",B19013_001,34031,6810,2015
18097354700,"Census Tract 3547, Marion County, Indiana",B19013_001,21136,6882,2015
18097354800,"Census Tract 3548, Marion County, Indiana",B19013_001,16129,2231,2015
18097354900,"Census Tract 3549, Marion County, Indiana",B19013_001,21186,3591,2015
18097355000,"Census Tract 3550, Marion County, Indiana",B19013_001,22989,7419,2015
18097355100,"Census Tract 3551, Marion County, Indiana",B19013_001,23036,5798,2015
18097355300,"Census Tract 3553, Marion County, Indiana",B19013_001,33553,6304,2015
18097355400,"Census Tract 3554, Marion County, Indiana",B19013_001,22472,6289,2015
18097355500,"Census Tract 3555, Marion County, Indiana",B19013_001,35127,5320,2015
18097355600,"Census Tract 3556, Marion County, Indiana",B19013_001,24750,5585,2015
18097355700,"Census Tract 3557, Marion County, Indiana",B19013_001,25956,5149,2015
18097355900,"Census Tract 3559, Marion County, Indiana",B19013_001,27614,8074,2015
18097356200,"Census Tract 3562, Marion County, Indiana",B19013_001,61429,9301,2015
18097356400,"Census Tract 3564, Marion County, Indiana",B19013_001,24315,2694,2015
18097356900,"Census Tract 3569, Marion County, Indiana",B19013_001,27500,4680,2015
18097357000,"Census Tract 3570, Marion County, Indiana",B19013_001,20885,3261,2015
18097357100,"Census Tract 3571, Marion County, Indiana",B19013_001,25347,4212,2015
18097357200,"Census Tract 3572, Marion County, Indiana",B19013_001,28320,7269,2015
18097357300,"Census Tract 3573, Marion County, Indiana",B19013_001,17250,2539,2015
18097357400,"Census Tract 3574, Marion County, Indiana",B19013_001,27456,5962,2015
18097357500,"Census Tract 3575, Marion County, Indiana",B19013_001,36178,4488,2015
18097357600,"Census Tract 3576, Marion County, Indiana",B19013_001,29817,3885,2015
18097357800,"Census Tract 3578, Marion County, Indiana",B19013_001,25606,5803,2015
18097357900,"Census Tract 3579, Marion County, Indiana",B19013_001,37353,7364,2015
18097358000,"Census Tract 3580, Marion County, Indiana",B19013_001,38636,13233,2015
18097358100,"Census Tract 3581, Marion County, Indiana",B19013_001,25691,4575,2015
18097360101,"Census Tract 3601.01, Marion County, Indiana",B19013_001,16178,2642,2015
18097360102,"Census Tract 3601.02, Marion County, Indiana",B19013_001,18902,5583,2015
18097360201,"Census Tract 3602.01, Marion County, Indiana",B19013_001,29756,3515,2015
18097360202,"Census Tract 3602.02, Marion County, Indiana",B19013_001,34265,11937,2015
18097360301,"Census Tract 3603.01, Marion County, Indiana",B19013_001,39911,5436,2015
18097360302,"Census Tract 3603.02, Marion County, Indiana",B19013_001,24785,6214,2015
18097360401,"Census Tract 3604.01, Marion County, Indiana",B19013_001,30928,9146,2015
18097360402,"Census Tract 3604.02, Marion County, Indiana",B19013_001,39696,4619,2015
18097360404,"Census Tract 3604.04, Marion County, Indiana",B19013_001,36972,4004,2015
18097360405,"Census Tract 3604.05, Marion County, Indiana",B19013_001,44678,9112,2015
18097360501,"Census Tract 3605.01, Marion County, Indiana",B19013_001,43301,5090,2015
18097360502,"Census Tract 3605.02, Marion County, Indiana",B19013_001,46793,5520,2015
18097360601,"Census Tract 3606.01, Marion County, Indiana",B19013_001,50318,4232,2015
18097360602,"Census Tract 3606.02, Marion County, Indiana",B19013_001,38651,8034,2015
18097360700,"Census Tract 3607, Marion County, Indiana",B19013_001,55673,13842,2015
18097360800,"Census Tract 3608, Marion County, Indiana",B19013_001,27581,4797,2015
18097360900,"Census Tract 3609, Marion County, Indiana",B19013_001,40079,12281,2015
18097361000,"Census Tract 3610, Marion County, Indiana",B19013_001,65962,6296,2015
18097361100,"Census Tract 3611, Marion County, Indiana",B19013_001,44238,5939,2015
18097361200,"Census Tract 3612, Marion County, Indiana",B19013_001,37743,7501,2015
18097361300,"Census Tract 3613, Marion County, Indiana",B19013_001,42061,6563,2015
18097361400,"Census Tract 3614, Marion County, Indiana",B19013_001,53072,6942,2015
18097361600,"Census Tract 3616, Marion County, Indiana",B19013_001,70742,12307,2015
18097370201,"Census Tract 3702.01, Marion County, Indiana",B19013_001,40324,6504,2015
18097370202,"Census Tract 3702.02, Marion County, Indiana",B19013_001,33024,4189,2015
18097370301,"Census Tract 3703.01, Marion County, Indiana",B19013_001,62105,9258,2015
18097370302,"Census Tract 3703.02, Marion County, Indiana",B19013_001,57016,7153,2015
18097380100,"Census Tract 3801, Marion County, Indiana",B19013_001,65530,5401,2015
18097380200,"Census Tract 3802, Marion County, Indiana",B19013_001,27667,8894,2015
