GEOID,NAME,year,total_pop,white_pop,percent_white
18097320800,"Census Tract 3208, Marion County, Indiana",2015,2971,2596,87.3779872096937
18097321200,"Census Tract 3212, Marion County, Indiana",2015,4967,4632,93.25548620897926
18097330401,"Census Tract 3304.01, Marion County, Indiana",2015,6042,4473,74.0317775571003
18097330900,"Census Tract 3309, Marion County, Indiana",2015,4440,662,14.90990990990991
18097340101,"Census Tract 3401.01, Marion County, Indiana",2015,3556,3066,86.22047244094489
18097340600,"Census Tract 3406, Marion County, Indiana",2015,5478,1147,20.938298649142023
18097341100,"Census Tract 3411, Marion County, Indiana",2015,2104,1013,48.14638783269962
18097342000,"Census Tract 3420, Marion County, Indiana",2015,6938,3197,46.079561833381376
18097350800,"Census Tract 3508, Marion County, Indiana",2015,2234,83,3.7153088630259625
18097351200,"Census Tract 3512, Marion County, Indiana",2015,2414,149,6.172328086164043
18097352100,"Census Tract 3521, Marion County, Indiana",2015,1977,154,7.789580171977744
18097356200,"Census Tract 3562, Marion County, Indiana",2015,3138,1711,54.52517527087317
18097357900,"Census Tract 3579, Marion County, Indiana",2015,4013,3049,75.97807126837778
18097360101,"Census Tract 3601.01, Marion County, Indiana",2015,2132,696,32.645403377110696
18097360402,"Census Tract 3604.02, Marion County, Indiana",2015,2051,349,17.016089712335447
18097360700,"Census Tract 3607, Marion County, Indiana",2015,1762,1446,82.06583427922816
18097360900,"Census Tract 3609, Marion County, Indiana",2015,5367,2902,54.07117570337246
18097361000,"Census Tract 3610, Marion County, Indiana",2015,1886,1784,94.59172852598091
18097310201,"Census Tract 3102.01, Marion County, Indiana",2015,3821,1451,37.97435226380529
18097352400,"Census Tract 3524, Marion County, Indiana",2015,3154,1655,52.47305009511731
18097352700,"Census Tract 3527, Marion County, Indiana",2015,2532,1397,55.173775671406005
18097330700,"Census Tract 3307, Marion County, Indiana",2015,6194,3337,53.87471746851792
18097350100,"Census Tract 3501, Marion County, Indiana",2015,1304,222,17.024539877300615
18097340400,"Census Tract 3404, Marion County, Indiana",2015,3492,1140,32.64604810996563
18097342400,"Census Tract 3424, Marion County, Indiana",2015,1734,1573,90.71510957324107
18097342500,"Census Tract 3425, Marion County, Indiana",2015,4803,3442,71.66354361857172
18097350500,"Census Tract 3505, Marion County, Indiana",2015,2211,23,1.0402532790592491
18097350600,"Census Tract 3506, Marion County, Indiana",2015,4258,239,5.612963832785345
18097351600,"Census Tract 3516, Marion County, Indiana",2015,2252,1313,58.30373001776199
18097352500,"Census Tract 3525, Marion County, Indiana",2015,2817,2043,72.52396166134186
18097352800,"Census Tract 3528, Marion County, Indiana",2015,918,96,10.457516339869281
18097353600,"Census Tract 3536, Marion County, Indiana",2015,2376,619,26.052188552188554
18097354900,"Census Tract 3549, Marion County, Indiana",2015,2736,1052,38.45029239766082
18097355900,"Census Tract 3559, Marion County, Indiana",2015,2311,1817,78.62397230636088
18097357000,"Census Tract 3570, Marion County, Indiana",2015,2503,2037,81.38234119057131
18097360102,"Census Tract 3601.02, Marion County, Indiana",2015,2335,360,15.417558886509635
18097380700,"Census Tract 3807, Marion County, Indiana",2015,5719,3743,65.4485049833887
18097361400,"Census Tract 3614, Marion County, Indiana",2015,11437,7931,69.34510798286264
18097361600,"Census Tract 3616, Marion County, Indiana",2015,8151,5554,68.13887866519445
18097380300,"Census Tract 3803, Marion County, Indiana",2015,6077,4569,75.18512423893368
18097381001,"Census Tract 3810.01, Marion County, Indiana",2015,7141,4192,58.70326284834057
18097380100,"Census Tract 3801, Marion County, Indiana",2015,17782,15180,85.36722528399505
18097381201,"Census Tract 3812.01, Marion County, Indiana",2015,6853,6178,90.15029913906318
18097381205,"Census Tract 3812.05, Marion County, Indiana",2015,7097,4329,60.99760462167113
18097321400,"Census Tract 3214, Marion County, Indiana",2015,5463,3744,68.53377265238879
18097322300,"Census Tract 3223, Marion County, Indiana",2015,2593,2078,80.13883532587737
18097330105,"Census Tract 3301.05, Marion County, Indiana",2015,5088,3560,69.96855345911949
18097340108,"Census Tract 3401.08, Marion County, Indiana",2015,2131,376,17.644298451431254
18097350400,"Census Tract 3504, Marion County, Indiana",2015,2699,693,25.676176361615415
18097350700,"Census Tract 3507, Marion County, Indiana",2015,1439,28,1.9457956914523975
18097350900,"Census Tract 3509, Marion County, Indiana",2015,1366,243,17.7891654465593
18097351700,"Census Tract 3517, Marion County, Indiana",2015,2700,750,27.77777777777778
18097361100,"Census Tract 3611, Marion County, Indiana",2015,3223,2538,78.74650946323301
18097370201,"Census Tract 3702.01, Marion County, Indiana",2015,3976,3673,92.37927565392354
18097381002,"Census Tract 3810.02, Marion County, Indiana",2015,3012,2631,87.35059760956176
18097390200,"Census Tract 3902, Marion County, Indiana",2015,3464,2970,85.73903002309468
