GEOID,year,zhvi_avg_weighted
18011810605,2015,115207.83816666667
18011810605,2016,121420.51963333333
18011810605,2017,129859.31399166667
18011810605,2018,140764.43826666666
18011810605,2019,152505.01014166666
18011810605,2020,164908.19486666666
18011810605,2021,193778.387475
18011810605,2022,228090.73065833334
18011810605,2023,235214.31639166665
18057110805,2015,178643.61975
18057110805,2016,185453.44285833332
18057110805,2017,197683.83703333334
18057110805,2018,212719.56846666668
18057110805,2019,224514.97631666667
18057110805,2020,238943.44776666665
18057110805,2021,274843.036725
18057110805,2022,313981.685525
18057110805,2023,318192.01886666665
18057110807,2015,178643.61975
18057110807,2016,185453.44285833332
18057110807,2017,197683.83703333334
18057110807,2018,212719.56846666668
18057110807,2019,224514.97631666667
18057110807,2020,238943.44776666665
18057110807,2021,274843.036725
18057110807,2022,313981.685525
18057110807,2023,318192.01886666665
18057110810,2015,178643.61975000004
18057110810,2016,185453.44285833332
18057110810,2017,197683.83703333334
18057110810,2018,212719.56846666668
18057110810,2019,224514.97631666667
18057110810,2020,238943.44776666665
18057110810,2021,274843.036725
18057110810,2022,313981.685525
18057110810,2023,318192.01886666665
18057110813,2015,178643.61975
18057110813,2016,185453.44285833332
18057110813,2017,197683.83703333334
18057110813,2018,212719.56846666668
18057110813,2019,224514.97631666667
18057110813,2020,238943.44776666665
18057110813,2021,274843.036725
18057110813,2022,313981.685525
18057110813,2023,318192.0188666667
18057110822,2015,178643.61975
18057110822,2016,185453.44285833332
18057110822,2017,197683.83703333334
18057110822,2018,212719.56846666668
18057110822,2019,224514.97631666667
18057110822,2020,238943.44776666665
18057110822,2021,274843.036725
18057110822,2022,313981.685525
18057110822,2023,318192.01886666665
18057111006,2015,157236.6096
18057111006,2016,166835.80404166668
18057111006,2017,176980.04979166668
18057111006,2018,190577.996625
18057111006,2019,201082.11748333334
18057111006,2020,215389.70645
18057111006,2021,246181.45106666666
18057111006,2022,283236.707275
18057111006,2023,299931.0927166667
18057111101,2015,157236.6096
18057111101,2016,166835.80404166668
18057111101,2017,176980.04979166668
18057111101,2018,190577.996625
18057111101,2019,201082.11748333334
18057111101,2020,215389.70644999997
18057111101,2021,246181.45106666666
18057111101,2022,283236.707275
18057111101,2023,299931.0927166667
18057111103,2015,136504.7450240211
18057111103,2016,143072.4962023626
18057111103,2017,152305.83440111886
18057111103,2018,163804.61297820357
18057111103,2019,174641.11738095587
18057111103,2020,189478.0862125866
18057111103,2021,219955.0212906114
18057111103,2022,253033.34896919885
18057111103,2023,259869.55733918562
18057111104,2015,157236.6096
18057111104,2016,166835.80404166668
18057111104,2017,176980.04979166668
18057111104,2018,190577.996625
18057111104,2019,201082.11748333334
18057111104,2020,215389.70645
18057111104,2021,246181.45106666666
18057111104,2022,283236.707275
18057111104,2023,299931.0927166667
18059410801,2015,96315.69182395702
18059410801,2016,101810.77134230672
18059410801,2017,110696.45653409476
18059410801,2018,122094.0347258756
18059410801,2019,132817.14534958813
18059410801,2020,143893.6214090659
18059410801,2021,169797.79156276886
18059410801,2022,198641.3160944825
18059410801,2023,204998.5143112885
18059410802,2015,143836.608125
18059410802,2016,151646.2915
18059410802,2017,162296.837775
18059410802,2018,175020.48475
18059410802,2019,185764.93986666665
18059410802,2020,200063.27285
18059410802,2021,238133.75994166665
18059410802,2022,278156.27324999997
18059410802,2023,277798.65036666667
18059410901,2015,95732.36281611866
18059410901,2016,101239.36730626522
18059410901,2017,110041.56393636121
18059410901,2018,121515.81785581572
18059410901,2019,132273.2389765726
18059410901,2020,143335.94016756787
18059410901,2021,169218.66099520598
18059410901,2022,198164.0608101196
18059410901,2023,204459.77593938232
18059410902,2015,96104.4670475
18059410902,2016,101589.25842916667
18059410902,2017,110467.099025
18059410902,2018,121858.783
18059410902,2019,132581.79875
18059410902,2020,143643.95404166667
18059410902,2021,169494.046375
18059410902,2022,198287.88164166667
18059410902,2023,204674.92643333334
18063210106,2015,227560.33515457192
18063210106,2016,234391.49559510563
18063210106,2017,246082.5082817194
18063210106,2018,260781.2302878254
18063210106,2019,273245.5188550851
18063210106,2020,291574.20295108
18063210106,2021,336353.516684068
18063210106,2022,383267.47913321434
18063210106,2023,392408.5198321394
18063210107,2015,228820.49659999998
18063210107,2016,235642.5755
18063210107,2017,247370.71655000004
18063210107,2018,262092.05987499998
18063210107,2019,274565.80761666666
18063210107,2020,292946.1709833333
18063210107,2021,337888.13875
18063210107,2022,384955.559975
18063210107,2023,394134.44823333336
18063210108,2015,135421.21570833333
18063210108,2016,142916.39039166667
18063210108,2017,151892.691625
18063210108,2018,164937.41254166665
18063210108,2019,176710.07544166668
18063210108,2020,191260.13060833333
18063210108,2021,224146.68290833334
18063210108,2022,259840.212825
18063210108,2023,266213.956675
18063210109,2015,135421.21570833333
18063210109,2016,142916.39039166667
18063210109,2017,151892.691625
18063210109,2018,164937.41254166665
18063210109,2019,176710.07544166668
18063210109,2020,191260.13060833336
18063210109,2021,224146.68290833334
18063210109,2022,259840.212825
18063210109,2023,266213.956675
18063210607,2015,119743.915025
18063210607,2016,125458.43864166667
18063210607,2017,134002.53846666668
18063210607,2018,144880.38763333333
18063210607,2019,156545.663825
18063210607,2020,170556.576225
18063210607,2021,201566.92879166664
18063210607,2022,237488.67648333337
18063210607,2023,244759.55299166666
18063210608,2015,119743.915025
18063210608,2016,125458.43864166667
