GEOID,year,zori_avg_weighted
18011810605,2015,NA
18011810605,2016,NA
18011810605,2017,NA
18011810605,2018,1081.37887
18011810605,2019,1128.2831465833333
18011810605,2020,1202.278878
18011810605,2021,1291.3894318333332
18011810605,2022,1436.8500314166668
18011810605,2023,1533.9894731666666
18057110805,2015,NA
18057110805,2016,NA
18057110805,2017,NA
18057110805,2018,NA
18057110805,2019,NA
18057110805,2020,NA
18057110805,2021,NA
18057110805,2022,1171.8334247142857
18057110805,2023,1183.8185559166668
18057110807,2015,NA
18057110807,2016,NA
18057110807,2017,NA
18057110807,2018,NA
18057110807,2019,NA
18057110807,2020,NA
18057110807,2021,NA
18057110807,2022,1171.8334247142857
18057110807,2023,1183.8185559166668
18057110810,2015,NA
18057110810,2016,NA
18057110810,2017,NA
18057110810,2018,NA
18057110810,2019,NA
18057110810,2020,NA
18057110810,2021,NA
18057110810,2022,1171.8334247142857
18057110810,2023,1183.8185559166668
18057110813,2015,NA
18057110813,2016,NA
18057110813,2017,NA
18057110813,2018,NA
18057110813,2019,NA
18057110813,2020,NA
18057110813,2021,NA
18057110813,2022,1171.8334247142857
18057110813,2023,1183.8185559166668
18057110822,2015,NA
18057110822,2016,NA
18057110822,2017,NA
18057110822,2018,NA
18057110822,2019,NA
18057110822,2020,NA
18057110822,2021,NA
18057110822,2022,1171.8334247142857
18057110822,2023,1183.8185559166668
18057111103,2015,NA
18057111103,2016,NA
18057111103,2017,NA
18057111103,2018,578.5529763382624
18057111103,2019,603.6474271113578
18057111103,2020,643.2361890477172
18057111103,2021,690.9115945634785
18057111103,2022,768.7350708339977
18057111103,2023,1414.382142711914
18059410801,2015,5.115344335777635
18059410801,2016,1054.1211588287817
18059410801,2017,1088.145813358727
18059410801,2018,1127.4803795416965
18059410801,2019,1164.5369216315664
18059410801,2020,1235.842033560378
18059410801,2021,1363.9721589427752
18059410801,2022,1497.7097841173045
18059410801,2023,1566.338442979678
18059410802,2015,1155.955004857143
18059410802,2016,1178.0389728333332
18059410802,2017,1193.2435915
18059410802,2018,1230.610373
18059410802,2019,1274.6595498333334
18059410802,2020,1360.3966435
18059410802,2021,1506.0115409166667
18059410802,2022,1643.9395508333332
18059410802,2023,1728.5089535833333
18059410901,2015,65.50707910285696
18059410901,2016,1045.9601241590099
18059410901,2017,1080.9562306446394
18059410901,2018,1119.73858972705
18059410901,2019,1156.8824273112718
18059410901,2020,1227.462094167037
18059410901,2021,1354.4646153456165
18059410901,2022,1489.158684241266
18059410901,2023,1559.134928773659
18059410902,2015,NA
18059410902,2016,1053.570359
18059410902,2017,1087.6786663333332
18059410902,2018,1127.0219790833332
18059410902,2019,1164.04743975
18059410902,2020,1235.28840325
18059410902,2021,1363.3408109166667
18059410902,2022,1497.0598103333334
18059410902,2023,1565.6176145
18063210106,2015,NA
18063210106,2016,NA
18063210106,2017,NA
18063210106,2018,NA
18063210106,2019,1368.4648887777778
18063210106,2020,1422.3392090833333
18063210106,2021,1546.0810010833334
18063210106,2022,1725.3099579166667
18063210106,2023,1779.9770320833336
18063210108,2015,NA
18063210108,2016,NA
18063210108,2017,NA
18063210108,2018,NA
18063210108,2019,1368.4648887777778
18063210108,2020,1422.3392090833333
18063210108,2021,1546.0810010833334
18063210108,2022,1725.3099579166667
18063210108,2023,1779.9770320833334
18063210109,2015,NA
18063210109,2016,NA
18063210109,2017,NA
18063210109,2018,NA
18063210109,2019,1368.4648887777778
18063210109,2020,1422.3392090833333
18063210109,2021,1546.0810010833334
18063210109,2022,1725.3099579166665
18063210109,2023,1779.9770320833331
18063210611,2015,NA
18063210611,2016,NA
18063210611,2017,NA
18063210611,2018,NA
18063210611,2019,1368.4648887777778
18063210611,2020,1422.3392090833333
18063210611,2021,1546.0810010833334
18063210611,2022,1725.3099579166667
18063210611,2023,1779.9770320833334
18063210616,2015,NA
18063210616,2016,NA
18063210616,2017,NA
