GEOID,NAME,year,value
18097310103,"Census Tract 3101.03, Marion County, Indiana",2015,97167
18097310103,"Census Tract 3101.03, Marion County, Indiana",2016,110909
18097310103,"Census Tract 3101.03, Marion County, Indiana",2017,120089
18097310103,"Census Tract 3101.03, Marion County, Indiana",2018,124240
18097310103,"Census Tract 3101.03, Marion County, Indiana",2019,128789
18097310103,"Census Tract 3101.03, Marion County, Indiana",2023,160411
18097310104,"Census Tract 3101.04, Marion County, Indiana",2015,50625
18097310104,"Census Tract 3101.04, Marion County, Indiana",2016,46801
18097310104,"Census Tract 3101.04, Marion County, Indiana",2017,50083
18097310104,"Census Tract 3101.04, Marion County, Indiana",2018,53885
18097310104,"Census Tract 3101.04, Marion County, Indiana",2019,52639
18097310104,"Census Tract 3101.04, Marion County, Indiana",2020,51264
18097310104,"Census Tract 3101.04, Marion County, Indiana",2021,59500
18097310104,Census Tract 3101.04; Marion County; Indiana,2022,66856
18097310104,Census Tract 3101.04; Marion County; Indiana,2023,70062
18097310105,"Census Tract 3101.05, Marion County, Indiana",2015,50260
18097310105,"Census Tract 3101.05, Marion County, Indiana",2016,51039
18097310105,"Census Tract 3101.05, Marion County, Indiana",2017,54972
18097310105,"Census Tract 3101.05, Marion County, Indiana",2018,60219
18097310105,"Census Tract 3101.05, Marion County, Indiana",2019,59135
18097310105,"Census Tract 3101.05, Marion County, Indiana",2020,54766
18097310105,"Census Tract 3101.05, Marion County, Indiana",2021,52094
18097310105,Census Tract 3101.05; Marion County; Indiana,2022,57225
18097310105,Census Tract 3101.05; Marion County; Indiana,2023,59895
18097310106,"Census Tract 3101.06, Marion County, Indiana",2015,35899
18097310106,"Census Tract 3101.06, Marion County, Indiana",2016,36507
18097310106,"Census Tract 3101.06, Marion County, Indiana",2017,37525
18097310106,"Census Tract 3101.06, Marion County, Indiana",2018,40398
18097310106,"Census Tract 3101.06, Marion County, Indiana",2019,41153
18097310106,"Census Tract 3101.06, Marion County, Indiana",2020,41974
18097310106,"Census Tract 3101.06, Marion County, Indiana",2021,49184
18097310106,Census Tract 3101.06; Marion County; Indiana,2022,54075
18097310106,Census Tract 3101.06; Marion County; Indiana,2023,60417
18097310108,"Census Tract 3101.08, Marion County, Indiana",2015,85145
18097310108,"Census Tract 3101.08, Marion County, Indiana",2016,90000
18097310108,"Census Tract 3101.08, Marion County, Indiana",2017,85485
18097310108,"Census Tract 3101.08, Marion County, Indiana",2018,96178
18097310108,"Census Tract 3101.08, Marion County, Indiana",2019,103304
18097310108,"Census Tract 3101.08, Marion County, Indiana",2020,115417
18097310108,"Census Tract 3101.08, Marion County, Indiana",2021,124792
18097310108,Census Tract 3101.08; Marion County; Indiana,2022,137434
18097310108,Census Tract 3101.08; Marion County; Indiana,2023,129474
18097310110,"Census Tract 3101.10, Marion County, Indiana",2015,48633
18097310110,"Census Tract 3101.10, Marion County, Indiana",2016,49934
18097310110,"Census Tract 3101.10, Marion County, Indiana",2017,50885
18097310110,"Census Tract 3101.10, Marion County, Indiana",2018,50143
18097310110,"Census Tract 3101.10, Marion County, Indiana",2019,49698
18097310110,"Census Tract 3101.10, Marion County, Indiana",2020,52218
18097310110,"Census Tract 3101.10, Marion County, Indiana",2021,54466
18097310110,Census Tract 3101.10; Marion County; Indiana,2022,59494
18097310110,Census Tract 3101.10; Marion County; Indiana,2023,61222
18097310111,"Census Tract 3101.11, Marion County, Indiana",2015,46793
18097310111,"Census Tract 3101.11, Marion County, Indiana",2016,47370
18097310111,"Census Tract 3101.11, Marion County, Indiana",2017,44340
18097310111,"Census Tract 3101.11, Marion County, Indiana",2018,43712
18097310111,"Census Tract 3101.11, Marion County, Indiana",2019,42475
18097310111,"Census Tract 3101.11, Marion County, Indiana",2020,43347
18097310111,"Census Tract 3101.11, Marion County, Indiana",2021,46003
18097310111,Census Tract 3101.11; Marion County; Indiana,2022,53838
18097310111,Census Tract 3101.11; Marion County; Indiana,2023,52958
18097310112,"Census Tract 3101.12, Marion County, Indiana",2020,139690
18097310112,"Census Tract 3101.12, Marion County, Indiana",2021,137208
18097310112,Census Tract 3101.12; Marion County; Indiana,2022,148508
18097310112,Census Tract 3101.12; Marion County; Indiana,2023,147944
18097310113,"Census Tract 3101.13, Marion County, Indiana",2020,122714
18097310113,"Census Tract 3101.13, Marion County, Indiana",2021,141136
18097310113,Census Tract 3101.13; Marion County; Indiana,2022,124375
18097310113,Census Tract 3101.13; Marion County; Indiana,2023,196111
18097310201,"Census Tract 3102.01, Marion County, Indiana",2015,56339
18097310201,"Census Tract 3102.01, Marion County, Indiana",2016,59063
