GEOID,year,zhvi_forecast,NAME,zhvi_delta,zhvi_delta_zscore
18011810605,2025,278356.1408896926,NA,0.09094353149211254,-0.3893972248338412
18011810605,2026,303864.5921946415,NA,0.09163962118248148,-0.4551697689351517
18011810605,2027,331734.3832042146,NA,0.09171779708943872,-0.4814477744568489
18011810605,2028,362163.24166846555,NA,0.0917265740449913,-0.49218906471145
18057110805,2025,366555.7035085307,NA,0.07432386685163106,-1.0224416709663013
18057110805,2026,393824.38126349286,NA,0.07439163405167859,-1.1063883215149053
18057110805,2027,423122.512403396,NA,0.07439389873706403,-1.126744238562949
18057110805,2028,454600.2777665246,NA,0.07439397441731566,-1.1318372538216137
18057110807,2025,366555.7035085307,NA,0.07432386685163106,-1.0224416709663013
18057110807,2026,393824.38126349286,NA,0.07439163405167859,-1.1063883215149053
18057110807,2027,423122.512403396,NA,0.07439389873706403,-1.126744238562949
18057110807,2028,454600.2777665246,NA,0.07439397441731566,-1.1318372538216137
18057110810,2025,366555.7035085307,NA,0.07432386685163106,-1.0224416709663013
18057110810,2026,393824.38126349286,NA,0.07439163405167859,-1.1063883215149053
18057110810,2027,423122.512403396,NA,0.07439389873706403,-1.126744238562949
18057110810,2028,454600.2777665246,NA,0.07439397441731566,-1.1318372538216137
18057110813,2025,366555.7035085307,NA,0.07432386685163106,-1.0224416709663013
18057110813,2026,393824.38126349286,NA,0.07439163405167859,-1.1063883215149053
18057110813,2027,423122.512403396,NA,0.07439389873706403,-1.126744238562949
18057110813,2028,454600.2777665246,NA,0.07439397441731566,-1.1318372538216137
18057110822,2025,366555.7035085307,NA,0.07432386685163106,-1.0224416709663013
18057110822,2026,393824.38126349286,NA,0.07439163405167859,-1.1063883215149053
18057110822,2027,423122.512403396,NA,0.07439389873706403,-1.126744238562949
18057110822,2028,454600.2777665246,NA,0.07439397441731566,-1.1318372538216137
18057111006,2025,348725.99647422566,NA,0.08052668560492848,-0.7861757746872146
18057111006,2026,377215.8042992281,NA,0.08169682820623358,-0.8305719072535891
18057111006,2027,408147.9651275449,NA,0.08200123238680557,-0.8433792934678596
18057111006,2028,441648.9056093694,NA,0.08208038099946324,-0.8481754744781027
18057111101,2025,348725.99647422566,NA,0.08052668560492848,-0.7861757746872146
18057111101,2026,377215.8042992281,NA,0.08169682820623358,-0.8305719072535891
18057111101,2027,408147.9651275449,NA,0.08200123238680557,-0.8433792934678596
18057111101,2028,441648.9056093694,NA,0.08208038099946324,-0.8481754744781027
18057111103,2025,300366.69713705365,NA,0.07930479621627273,-0.8327176458987807
18057111103,2026,324660.07822107617,NA,0.08087907652737458,-0.8614471079733982
18057111103,2027,351013.7532750868,NA,0.08117313098183021,-0.8742251745555099
18057111103,2028,379525.9046725643,NA,0.08122801779545297,-0.8796313778983114
18057111104,2025,348725.99647422566,NA,0.08052668560492848,-0.7861757746872146
18057111104,2026,377215.8042992281,NA,0.08169682820623358,-0.8305719072535891
18057111104,2027,408147.9651275449,NA,0.08200123238680557,-0.8433792934678596
18057111104,2028,441648.9056093694,NA,0.08208038099946324,-0.8481754744781027
18059410801,2025,247645.10201122705,NA,0.09904657251042903,-0.08075170012605959
18059410801,2026,272173.5507725673,NA,0.09904677525270911,-0.1755037351094223
18059410801,2027,299131.4631912823,NA,0.09904677490591829,-0.20845128288842385
18059410801,2028,328759.4698934436,NA,0.09904677490650782,-0.2220418666237951
18059410802,2025,325761.09273996553,NA,0.08484597855348253,-0.6216535372383835
18059410802,2026,353458.77542539994,NA,0.08502452657089932,-0.7049306427961547
18059410802,2027,383514.31902030046,NA,0.08503267052495045,-0.7304615037237788
18059410802,2028,416125.7082008481,NA,0.08503304195748007,-0.739209463872513
18059410901,2025,247295.0065411484,NA,0.09957381790833075,-0.06066887787237817
18059410901,2026,271919.68162773753,NA,0.09957611126487387,-0.15551801567120122
18059410901,2027,298996.3825409782,NA,0.09957609817412605,-0.18873456403012304
18059410901,2028,328769.27570492966,NA,0.09957609824885094,-0.20250753682580602
18059410902,2025,247301.33908023903,NA,0.09913689536974024,-0.07731129469775197
18059410902,2026,271818.1037353462,NA,0.09913720947201377,-0.17208928210962357
18059410902,2027,298765.3918417389,NA,0.09913720880280197,-0.20508271810540696
18059410902,2028,328384.15887623257,NA,0.09913720880423549,-0.21870446310913053
18063210106,2025,441001.52497485414,NA,0.06424428811328031,-1.4063736863046636
18063210106,2026,470254.51056122326,NA,0.06633307127007582,-1.410649076738703
18063210106,2027,501695.6362554573,NA,0.06685980673893122,-1.4073810114044811
18063210106,2028,535305.4879425718,NA,0.06699251350474311,-1.4049833006464185
18063210107,2025,442798.62562033866,NA,0.06406876378842408,-1.4130594228351554
18063210107,2026,472095.5726504429,NA,0.06616313903201632,-1.4170650732991432
18063210107,2027,503581.19918008347,NA,0.06669333150674062,-1.4135820336287377
18063210107,2028,537234.2348224048,NA,0.06682742663370722,-1.4110757230396156
18063210108,2025,311744.2389245688,NA,0.08555110548193356,-0.5947951922879622
18063210108,2026,338674.3064026155,NA,0.08638513279651283,-0.6535593140633863
18063210108,2027,367965.21936504944,NA,0.08648696523087573,-0.6762905998998616
18063210108,2028,399793.9878487976,NA,0.08649939398802675,-0.6850947066470858
18063210109,2025,311744.2389245688,NA,0.08555110548193356,-0.5947951922879622
18063210109,2026,338674.3064026155,NA,0.08638513279651283,-0.6535593140633863
18063210109,2027,367965.21936504944,NA,0.08648696523087573,-0.6762905998998616
18063210109,2028,399793.9878487976,NA,0.08649939398802675,-0.6850947066470858
18063210607,2025,287366.99670016504,NA,0.08823614534570345,-0.4925217944683933
18063210607,2026,313232.7355075887,NA,0.09000942733313133,-0.5167197034838796
18063210607,2027,341531.49918181944,NA,0.09034420884641259,-0.5326124498857472
18063210607,2028,372408.46151765663,NA,0.09040736333195243,-0.5408736683933271
18063210608,2025,287366.99670016504,NA,0.08823614534570345,-0.4925217944683933
18063210608,2026,313232.7355075887,NA,0.09000942733313133,-0.5167197034838796
18063210608,2027,341531.49918181944,NA,0.09034420884641259,-0.5326124498857472
18063210608,2028,372408.46151765663,NA,0.09040736333195243,-0.5408736683933271
18063210611,2025,311744.2389245688,NA,0.08555110548193356,-0.5947951922879622
18063210611,2026,338674.3064026155,NA,0.08638513279651283,-0.6535593140633863
18063210611,2027,367965.21936504944,NA,0.08648696523087573,-0.6762905998998616
18063210611,2028,399793.9878487976,NA,0.08649939398802675,-0.6850947066470858
18063210614,2025,287366.99664135725,NA,0.08823614526757129,-0.4925217974444542
18063210614,2026,313232.73542969034,NA,0.0900094272851184,-0.5167197052966657
18063210614,2027,341531.4990846733,NA,0.09034420880743177,-0.5326124513377405
18063210614,2028,372408.4613992136,NA,0.09040736329531107,-0.5408736697455522
18063210616,2025,311744.2389245688,NA,0.08555110548193356,-0.5947951922879622
18063210616,2026,338674.3064026155,NA,0.08638513279651283,-0.6535593140633863
18063210616,2027,367965.21936504944,NA,0.08648696523087573,-0.6762905998998616
18063210616,2028,399793.9878487976,NA,0.08649939398802675,-0.6850947066470858
18063210617,2025,311744.2389245688,NA,0.08555110548193356,-0.5947951922879622
18063210617,2026,338674.3064026155,NA,0.08638513279651283,-0.6535593140633863
18063210617,2027,367965.21936504944,NA,0.08648696523087573,-0.6762905998998616
18063210617,2028,399793.9878487976,NA,0.08649939398802675,-0.6850947066470858
18097310104,2025,278356.1408896926,NA,0.09094353149211254,-0.3893972248338412
18097310104,2026,303864.5921946415,NA,0.09163962118248148,-0.4551697689351517
18097310104,2027,331734.3832042146,NA,0.09171779708943872,-0.4814477744568489
18097310104,2028,362163.24166846555,NA,0.0917265740449913,-0.49218906471145
18097310105,2025,335714.39961896645,NA,0.07718131423790697,-0.9136012558840584
18097310105,2026,362142.5349108929,NA,0.07872207841523093,-0.9428871727099296
18097310105,2027,390757.342895754,NA,0.07901531918061466,-0.9546013287679328
18097310105,2028,421654.9522437037,NA,0.07907109081810026,-0.9592313493246135
18097310106,2025,283570.98300227604,NA,0.08785347212297934,-0.5070978502173794
18097310106,2026,308744.3864057814,NA,0.08877284670308905,-0.5634082962998004
18097310106,2027,336190.12416627805,NA,0.08889469402182049,-0.5866053083032315
18097310106,2028,366081.0691920608,NA,0.08891083609284967,-0.596102021843414
18097310108,2025,284623.9187999779,NA,0.08958048748145098,-0.44131568765779494
18097310108,2026,310349.9174415245,NA,0.09038593365593339,-0.5025042532569713
18097310108,2027,338431.4025530138,NA,0.09048330137474703,-0.5274314037440462
18097310108,2028,369057.7751885096,NA,0.0904950675512397,-0.5376370018661172
18097310110,2025,246663.43763148037,NA,0.09769741978995539,-0.1321410425198901
18097310110,2026,270914.2664060779,NA,0.09831545772433725,-0.20311551025111405
18097310110,2027,297567.11146603845,NA,0.09838110562996394,-0.23324674296906606
18097310110,2028,326844.16728259093,NA,0.09838807680160544,-0.2463506869405317
18097310111,2025,246663.43763148037,NA,0.09769741978995539,-0.1321410425198901
18097310111,2026,270914.2664060779,NA,0.09831545772433725,-0.20311551025111405
18097310111,2027,297567.11146603845,NA,0.09838110562996394,-0.23324674296906606
18097310111,2028,326844.16728259093,NA,0.09838807680160544,-0.2463506869405317
18097310112,2025,442798.62562033866,NA,0.06406876378842408,-1.4130594228351554
18097310112,2026,472095.5726504429,NA,0.06616313903201632,-1.4170650732991432
18097310112,2027,503581.19918008347,NA,0.06669333150674062,-1.4135820336287377
18097310112,2028,537234.2348224048,NA,0.06682742663370722,-1.4110757230396156
18097310113,2025,442715.69313851057,NA,0.06407681170922719,-1.4127528768441542
18097310113,2026,472010.6034654264,NA,0.06617093267970175,-1.4167708147328224
18097310113,2027,503494.167148654,NA,0.06670096699540284,-1.4132976199398994
18097310113,2028,537145.1990130919,NA,0.06683499841717633,-1.410796291350868
18097310201,2025,278356.1408896926,NA,0.09094353149211254,-0.3893972248338412
18097310201,2026,303864.5921946415,NA,0.09163962118248148,-0.4551697689351517
18097310201,2027,331734.3832042146,NA,0.09171779708943872,-0.4814477744568489
18097310201,2028,362163.24166846555,NA,0.0917265740449913,-0.49218906471145
18097310203,2025,328856.58896260645,NA,0.07845588345191268,-0.8650528056239722
18097310203,2026,355140.59449770465,NA,0.07992543381299533,-0.8974530386032511
18097310203,2027,383621.17414679594,NA,0.08019522434311677,-0.9106511384668697
18097310203,2028,414404.7485573036,NA,0.08024472183782039,-0.915919268472714
18097310204,2025,279506.2243108676,NA,0.09024291666886164,-0.416083703311677
18097310204,2026,304937.97512429947,NA,0.09098813765645009,-0.4797673150507818
18097310204,2027,332710.27864429244,NA,0.09107525393868166,-0.505381811403117
18097310204,2028,363015.338902299,NA,0.09108543439502914,-0.5158499017973183
18097310305,2025,246663.43763148037,NA,0.09769741978995539,-0.1321410425198901
18097310305,2026,270914.2664060779,NA,0.09831545772433725,-0.20311551025111405
18097310305,2027,297567.11146603845,NA,0.09838110562996394,-0.23324674296906606
18097310305,2028,326844.16728259093,NA,0.09838807680160544,-0.2463506869405317
18097310306,2025,246663.43763148037,NA,0.09769741978995539,-0.1321410425198901
18097310306,2026,270914.2664060779,NA,0.09831545772433725,-0.20311551025111405
18097310306,2027,297567.11146603845,NA,0.09838110562996394,-0.23324674296906606
18097310306,2028,326844.16728259093,NA,0.09838807680160544,-0.2463506869405317
18097310308,2025,283980.3181465187,NA,0.09050314240942092,-0.40617168262020603
18097310308,2026,309827.7317955933,NA,0.09101832767064755,-0.47862745466017875
18097310308,2027,338042.8908072146,NA,0.09106724839671898,-0.5056800091768912
18097310308,2028,368829.09668735747,NA,0.0910718927016283,-0.5163496490855153
18097310309,2025,246663.4376315899,NA,0.0976974197900391,-0.13214104251670156
18097310309,2026,270914.2664062006,NA,0.09831545772434702,-0.20311551025074517
18097310309,2027,297567.1114661727,NA,0.09838110562996194,-0.2332467429691405
18097310309,2028,326844.1672827366,NA,0.09838807680159967,-0.24635068694074475
18097310310,2025,246663.43763148037,NA,0.09769741978995539,-0.1321410425198901
18097310310,2026,270914.2664060779,NA,0.09831545772433725,-0.20311551025111405
18097310310,2027,297567.11146603845,NA,0.09838110562996394,-0.23324674296906606
18097310310,2028,326844.16728259093,NA,0.09838807680160544,-0.2463506869405317
18097310311,2025,291951.92476314143,NA,0.08927116967844806,-0.4530976292021472
18097310311,2026,318160.10993531096,NA,0.08976883846007189,-0.5258034264999272
18097310311,2027,346735.6933542024,NA,0.08981510417726923,-0.552321026165487
18097310311,2028,377879.2867774632,NA,0.08981940429030644,-0.5625719101077028
18097310312,2025,246663.43763148037,NA,0.09769741978995539,-0.1321410425198901
18097310312,2026,270914.2664060779,NA,0.09831545772433725,-0.20311551025111405
18097310312,2027,297567.11146603845,NA,0.09838110562996394,-0.23324674296906606
18097310312,2028,326844.16728259093,NA,0.09838807680160544,-0.2463506869405317
18097320105,2025,326911.4115244342,NA,0.06952803041033051,-1.2051154907695043
18097320105,2026,350351.47623290285,NA,0.07170157994535664,-1.207954558096313
18097320105,2027,375653.6576701891,NA,0.07221942293306083,-1.207741108843892
