GEOID,NAME,year,estimate
18097310103,NA,2024,147232.80187586255
18097310103,NA,2025,150134.59071968743
18097310103,NA,2026,152804.4965923955
18097310103,NA,2027,155256.6365512518
18097310103,NA,2028,157505.11802043807
18097310104,NA,2024,71132.62009877981
18097310104,NA,2025,71482.75406510323
18097310104,NA,2026,71596.48759346856
18097310104,NA,2027,71633.35042312939
18097310104,NA,2028,71645.28974972303
18097310105,NA,2024,60752.94150048958
18097310105,NA,2025,61023.02346136926
18097310105,NA,2026,61107.502409653345
18097310105,NA,2027,61133.87374943868
18097310105,NA,2028,61142.100810738135
18097310106,NA,2024,65221.64641833257
18097310106,NA,2025,68757.88665595268
18097310106,NA,2026,71309.09585937762
18097310106,NA,2027,73124.43446525576
18097310106,NA,2028,74403.9077251083
18097310108,NA,2024,127043.4113135461
18097310108,NA,2025,126280.96261510118
18097310108,NA,2026,126039.7416470212
18097310108,NA,2027,125963.21806906974
18097310108,NA,2028,125938.92128278666
18097310110,NA,2024,62238.81535289686
18097310110,NA,2025,62831.451046312446
18097310110,NA,2026,63174.963720552856
18097310110,NA,2027,63373.44599523176
18097310110,NA,2028,63487.92052446592
18097310111,NA,2024,52777.86468640738
18097310111,NA,2025,52740.69873500068
18097310111,NA,2026,52733.01804748757
18097310111,NA,2027,52731.43022709397
18097310111,NA,2028,52731.10195578325
18097310112,NA,2024,158885.21423671243
18097310112,NA,2025,158425.9720105781
18097310112,NA,2026,169989.42632444948
18097310112,NA,2027,169648.75324105524
18097310112,NA,2028,181871.65007394462
18097310113,NA,2024,143282.08531243654
18097310113,NA,2025,177886.15061664843
18097310113,NA,2026,153245.5746216466
18097310113,NA,2027,169831.82433730055
18097310113,NA,2028,158218.60329194108
18097310201,NA,2024,69694.50418563109
18097310201,NA,2025,69826.12165339825
18097310201,NA,2026,69799.12417373901
18097310201,NA,2027,69804.65691666117
18097310201,NA,2028,69803.52285097951
18097310203,NA,2024,59592.5441644992
18097310203,NA,2025,59712.42967087441
18097310203,NA,2026,59726.37977861805
18097310203,NA,2027,59728.00143188302
18097310203,NA,2028,59728.189921920886
18097310204,NA,2024,98384.94564086427
18097310204,NA,2025,99991.70192657967
18097310204,NA,2026,100435.55373201997
18097310204,NA,2027,100557.249461314
18097310204,NA,2028,100590.5478427143
18097310305,NA,2024,46880.7943385794
18097310305,NA,2025,46936.79908387034
18097310305,NA,2026,46943.13078703618
18097310305,NA,2027,46943.84620583494
18097310305,NA,2028,46943.92703558429
18097310306,NA,2024,54390.939757284934
18097310306,NA,2025,54207.87222479365
18097310306,NA,2026,54157.497501086546
18097310306,NA,2027,54143.61426751346
18097310306,NA,2028,54139.78641557791
18097310308,NA,2024,73256.99416650328
18097310308,NA,2025,73271.48413806435
18097310308,NA,2026,78077.78741131301
18097310308,NA,2027,79461.30449906683
18097310308,NA,2028,83613.03635284585
18097310309,NA,2024,41920.098436597626
18097310309,NA,2025,41919.77117573934
18097310309,NA,2026,41919.7675927208
18097310309,NA,2027,41919.76755349195
18097310309,NA,2028,41919.76755306243
18097310310,NA,2024,76791.80118880841
18097310310,NA,2025,76793.76308164354
18097310310,NA,2026,76793.83595314484
18097310310,NA,2027,76793.83865981047
18097310310,NA,2028,76793.83876034404
18097310311,NA,2024,100779.19755613132
18097310311,NA,2025,102141.8326141303
18097310311,NA,2026,102533.87428243126
18097310311,NA,2027,102645.97504244754
18097310311,NA,2028,102677.97290210953
18097310312,NA,2024,54632.292530779574
18097310312,NA,2025,54777.425705561975
18097310312,NA,2026,54758.77136465918
18097310312,NA,2027,54761.165929738236
18097310312,NA,2028,54760.85849982331
18097320105,NA,2024,86102.11820448701
18097320105,NA,2025,87578.4534718532
18097320105,NA,2026,88384.76441319908
18097320105,NA,2027,88822.49187902438
18097320105,NA,2028,89059.35313667172
18097320106,NA,2024,69655.68270713258
18097320106,NA,2025,65251.47633463665
18097320106,NA,2026,63287.73076468512
18097320106,NA,2027,65424.62941107973
18097320106,NA,2028,69283.34363974609
18097320107,NA,2024,118765.536656622
18097320107,NA,2025,118425.57358641844
18097320107,NA,2026,118193.91625051553
18097320107,NA,2027,118035.93976288923
18097320107,NA,2028,117928.15293929522
18097320108,NA,2024,40500.4134215495
18097320108,NA,2025,43618.62996562723
18097320108,NA,2026,42172.55898686284
18097320108,NA,2027,42823.82298151481
18097320108,NA,2028,42526.55652999605
18097320109,NA,2024,69155.10711817046
