GEOID,NAME,year,estimate
18097310103,NA,2024,146621.46881076833
18097310103,NA,2025,149379.06716610995
18097310103,NA,2026,151915.9487190454
18097310103,NA,2027,154249.77953278873
18097310103,NA,2028,156396.8116876307
18097310104,NA,2024,71361.23310977404
18097310104,NA,2025,71887.74797987171
18097310104,NA,2026,72101.11839534872
18097310104,NA,2027,72187.58686335682
18097310104,NA,2028,72222.62825343404
18097310105,NA,2024,57286.315669126096
18097310105,NA,2025,53983.329614153314
18097310105,NA,2026,54362.91231215198
18097310105,NA,2027,57063.289423770446
18097310105,NA,2028,58088.22837983337
18097310106,NA,2024,65232.01980975021
18097310106,NA,2025,68887.71450673648
18097310106,NA,2026,71663.2178786046
18097310106,NA,2027,73770.45592930999
18097310106,NA,2028,75370.32867576313
18097310108,NA,2024,126783.63184206432
18097310108,NA,2025,125874.32520572837
18097310108,NA,2026,125566.99233886934
18097310108,NA,2027,125463.1181480547
18097310108,NA,2028,125428.01013104476
18097310110,NA,2024,62234.04816524933
18097310110,NA,2025,62826.780508295946
18097310110,NA,2026,63173.92962881924
18097310110,NA,2027,63377.24654461411
18097310110,NA,2028,63496.324386971944
18097310111,NA,2024,52801.444144632405
18097310111,NA,2025,52773.592172075725
18097310111,NA,2026,52768.63718413563
18097310111,NA,2027,52767.755670072795
18097310111,NA,2028,52767.598844859014
18097310112,NA,2024,158190.2764808652
18097310112,NA,2025,157745.10374887264
18097310112,NA,2026,167873.85911885294
18097310112,NA,2027,167544.9156979875
18097310112,NA,2028,177558.71935705084
18097310113,NA,2024,151737.52378684227
18097310113,NA,2025,179185.46333239367
18097310113,NA,2026,162207.0913500596
18097310113,NA,2027,172709.3410614492
18097310113,NA,2028,166213.0027131584
18097310201,NA,2024,69781.86928025025
18097310201,NA,2025,69882.35313874454
18097310201,NA,2026,69864.2299129737
18097310201,NA,2027,69867.49861022779
18097310201,NA,2028,69866.9090693881
18097310203,NA,2024,58097.263770281425
18097310203,NA,2025,58124.98437494397
18097310203,NA,2026,58123.36230790613
18097310203,NA,2027,58123.45722291636
18097310203,NA,2028,58123.45166897873
18097310204,NA,2024,99930.75650570745
18097310204,NA,2025,102804.82529899568
18097310204,NA,2026,103951.16870124784
18097310204,NA,2027,104408.3961687865
18097310204,NA,2028,104590.76469523423
18097310305,NA,2024,47273.77783892836
18097310305,NA,2025,47463.20381187298
18097310305,NA,2026,47503.71306560349
18097310305,NA,2027,47512.37607845381
18097310305,NA,2028,47514.22868704897
18097310306,NA,2024,54341.63195758582
18097310306,NA,2025,54134.880096863875
18097310306,NA,2026,54075.375317435864
18097310306,NA,2027,54058.249383176255
18097310306,NA,2028,54053.32040726736
18097310308,NA,2024,72134.95055784466
18097310308,NA,2025,72529.23099376133
18097310308,NA,2026,75866.29790959199
18097310308,NA,2027,77328.36790255309
18097310308,NA,2028,79985.09251444973
18097310309,NA,2024,42283.862728339154
18097310309,NA,2025,42244.378377870125
18097310309,NA,2026,42249.04800343665
18097310309,NA,2027,42248.49574912139
18097310309,NA,2028,42248.56106160188
18097310310,NA,2024,76832.15563553451
18097310310,NA,2025,76838.31896822757
18097310310,NA,2026,76838.72674462959
18097310310,NA,2027,76838.75372379854
18097310310,NA,2028,76838.75550878549
18097310311,NA,2024,101570.75831830641
18097310311,NA,2025,103583.72522502602
