GEOID,NAME,year,vacancy_rate_forecast
18097310103,NA,2024,0
18097310103,NA,2025,0
18097310103,NA,2026,0
18097310103,NA,2027,0
18097310103,NA,2028,0
18097310104,NA,2024,11.628371778004647
18097310104,NA,2025,12.25065641639365
18097310104,NA,2026,12.941472726447941
18097310104,NA,2027,13.652009972392108
18097310104,NA,2028,14.368222190256876
18097310105,NA,2024,0.6909696887675516
18097310105,NA,2025,0.616838746786857
18097310105,NA,2026,0.5427168354256302
18097310105,NA,2027,0.468594618005873
18097310105,NA,2028,0.3944724109588067
18097310106,NA,2024,1.9849338653893422
18097310106,NA,2025,1.401213134380784
18097310106,NA,2026,0.8201447473514163
18097310106,NA,2027,0.23874130881340427
18097310106,NA,2028,0
18097310108,NA,2024,2.2360477341902305
18097310108,NA,2025,1.9877014088907545
18097310108,NA,2026,1.7573278270950095
18097310108,NA,2027,1.5245862566029222
18097310108,NA,2028,1.292156679127641
18097310110,NA,2024,6.800688347761058
18097310110,NA,2025,6.651879506629195
18097310110,NA,2026,6.479543725782477
18097310110,NA,2027,6.301628964446845
18097310110,NA,2028,6.122391250628956
18097310201,NA,2024,4.733071270570576
18097310201,NA,2025,3.566323455278822
18097310201,NA,2026,2.7254838286615932
18097310201,NA,2027,2.0966189342811448
18097310201,NA,2028,1.6056250375261278
18097310203,NA,2024,6.143714564194308
18097310203,NA,2025,6.314241310526505
18097310203,NA,2026,6.504626691336371
18097310203,NA,2027,6.701651560977992
18097310203,NA,2028,6.900896261595229
18097310204,NA,2024,4.164828264574049
18097310204,NA,2025,3.9548187403785584
18097310204,NA,2026,4.390823633700787
18097310204,NA,2027,4.442954846050531
18097310204,NA,2028,4.723190879202241
18097310305,NA,2024,5.821986933589873
18097310305,NA,2025,4.941940392164584
18097310305,NA,2026,4.133756983106938
18097310305,NA,2027,3.3510052960302357
18097310305,NA,2028,2.5772536686727125
18097310306,NA,2024,4.099108531480734
18097310306,NA,2025,2.9960175406593343
18097310306,NA,2026,1.9439113580675098
18097310306,NA,2027,0.9007293233752662
18097310306,NA,2028,0
18097310308,NA,2024,19.147203110986133
18097310308,NA,2025,20.669544177172686
18097310308,NA,2026,22.19189819012387
18097310308,NA,2027,23.714251222590327
18097310308,NA,2028,25.236604329310882
18097310309,NA,2024,14.00300845870246
18097310309,NA,2025,14.665554888280331
18097310309,NA,2026,15.422501066187213
18097310309,NA,2027,16.16406131625759
18097310309,NA,2028,16.908129271905374
18097320105,NA,2024,3.3442973163739023
18097320105,NA,2025,2.3785243269507443
18097320105,NA,2026,1.4126807697421615
18097320105,NA,2027,0.4468358333196232
18097320105,NA,2028,0
18097320106,NA,2024,4.164105390347663
18097320106,NA,2025,3.5158322628567094
18097320106,NA,2026,2.8911275597188517
18097320106,NA,2027,2.2719162406472506
18097320106,NA,2028,1.6539853325207066
18097320107,NA,2024,3.869455823653696
18097320107,NA,2025,4.132157978913525
18097320107,NA,2026,4.329442997115978
18097320107,NA,2027,4.49972485367692
18097320107,NA,2028,4.658860231326717
18097320108,NA,2024,14.37425998022102
18097320108,NA,2025,14.841550162748241
18097320108,NA,2026,14.946312452665216
18097320108,NA,2027,14.836705372513515
18097320108,NA,2028,14.600337765074476
18097320202,NA,2024,14.36971859465023
18097320202,NA,2025,14.379694931397289
18097320202,NA,2026,14.754217163928072
18097320202,NA,2027,14.97577395792181
18097320202,NA,2028,15.261515881023989
18097320203,NA,2024,7.660389107175288
18097320203,NA,2025,8.092140621654282
18097320203,NA,2026,8.53927404041647
18097320203,NA,2027,8.987566419728207
18097320203,NA,2028,9.435946121749188
18097320204,NA,2024,16.557946563566762
18097320204,NA,2025,16.626745692758032
18097320204,NA,2026,16.823593842401568
18097320204,NA,2027,16.93030909971242
18097320204,NA,2028,17.100468327555507
18097320205,NA,2024,14.339480148316657
18097320205,NA,2025,17.996526901328032
18097320205,NA,2026,12.272902602393957
18097320205,NA,2027,15.324099817052245
18097320205,NA,2028,10.167196335179348
18097320206,NA,2024,33.7754912664775
18097320206,NA,2025,37.72462034415466
18097320206,NA,2026,42.05292927101314
18097320206,NA,2027,46.121770821211356
18097320206,NA,2028,50.36816220612867
18097320301,NA,2024,2.4178125435507933
18097320301,NA,2025,2.2266290782700695
18097320301,NA,2026,2.0750771357976445
18097320301,NA,2027,1.9356737773107329
18097320301,NA,2028,1.7999944264418724
18097320303,NA,2024,4.743290186202634
18097320303,NA,2025,2.925434989338015
18097320303,NA,2026,1.4273248164193397
18097320303,NA,2027,0.052899758302615396
18097320303,NA,2028,0
18097320400,NA,2024,4.612722770304757
18097320400,NA,2025,4.485031565051422
18097320400,NA,2026,4.346380961335534
18097320400,NA,2027,4.2113936215411405
18097320400,NA,2028,4.075181807373963
18097320500,NA,2024,8.329823697259409
18097320500,NA,2025,8.543513590605196
18097320500,NA,2026,8.71635788587244
18097320500,NA,2027,8.87381796817616
18097320500,NA,2028,9.025483692712074
18097320600,NA,2024,9.477109130289646
18097320600,NA,2025,9.458140491018728
18097320600,NA,2026,9.391759143242776
18097320600,NA,2027,9.31352573103135
18097320600,NA,2028,9.232329580857636
18097320700,NA,2024,11.140941418548344
18097320700,NA,2025,12.730250033186218
18097320700,NA,2026,13.764264339618233
18097320700,NA,2027,14.43804646564828
18097320700,NA,2028,14.87813769681497
18097320800,NA,2024,8.22552594353867
18097320800,NA,2025,8.253898316689282
18097320800,NA,2026,8.1961488278856809
18097320800,NA,2027,8.116692857428935
18097320800,NA,2028,8.031765902775298
18097320901,NA,2024,3.924535818671946
18097320901,NA,2025,3.5497521301300488
18097320901,NA,2026,3.6837537265890963
18097320901,NA,2027,3.5760805573797687
18097320901,NA,2028,3.5832037356331154
18097320902,NA,2024,13.351838439818167
18097320902,NA,2025,12.214311768301013
18097320902,NA,2026,11.96643508096319
18097320902,NA,2027,11.260983440561876
18097320902,NA,2028,10.790876982416926
18097320903,NA,2024,15.569659434588228
18097320903,NA,2025,16.554622667469665
18097320903,NA,2026,16.117506613584293
18097320903,NA,2027,16.635728466907306
18097320903,NA,2028,16.512164362553996
18097321001,NA,2024,3.03818908602587
18097321001,NA,2025,2.070588728655581
18097321001,NA,2026,1.0973660728243484
18097321001,NA,2027,0.12480792997831891
18097321001,NA,2028,0
18097321002,NA,2024,8.45519347290842
18097321002,NA,2025,8.036623260886739
18097321002,NA,2026,7.612580352083015
18097321002,NA,2027,7.18824575453395
18097321002,NA,2028,6.7638956102941865
18097321100,NA,2024,10.030566289280411
18097321100,NA,2025,10.52542104764741
18097321100,NA,2026,10.309488307888168
18097321100,NA,2027,10.699496366679114
18097321100,NA,2028,10.572944620583863
18097321200,NA,2024,9.824230602313106
18097321200,NA,2025,10.506497220739709
18097321200,NA,2026,11.183881188863538
18097321200,NA,2027,11.860864058616508
18097321200,NA,2028,12.53781397907081
18097321400,NA,2024,3.198547460825911
18097321400,NA,2025,2.9701817022134565
18097321400,NA,2026,2.743098580869723
18097321400,NA,2027,2.5162642345249044
18097321400,NA,2028,2.2894781395459196
18097321600,NA,2024,9.916324518005716
18097321600,NA,2025,9.239557115605635
18097321600,NA,2026,9.118228227875273
18097321600,NA,2027,8.728411098544937
18097321600,NA,2028,8.46837599543997
18097321700,NA,2024,2.5136275372291106
18097321700,NA,2025,2.12150144546698
18097321700,NA,2026,1.722096859641785
18097321700,NA,2027,1.323963393558003
18097321700,NA,2028,0.9256079385046609
18097321800,NA,2024,7.933059908269012
18097321800,NA,2025,6.936735948325691
18097321800,NA,2026,8.284485847734494
18097321800,NA,2027,7.9363249645662055
18097321800,NA,2028,8.81513624824601
18097321900,NA,2024,3.7116710017366703
18097321900,NA,2025,2.7211014255628747
18097321900,NA,2026,1.7290521324986212
18097321900,NA,2027,0.7371215033710286
18097321900,NA,2028,0
18097322000,NA,2024,18.596904482681627
18097322000,NA,2025,19.148364684810346
18097322000,NA,2026,19.727387340312163
18097322000,NA,2027,20.312899604004734
18097322000,NA,2028,20.899939852666545
18097322100,NA,2024,16.40580547590922
18097322100,NA,2025,17.198507168449307
18097322100,NA,2026,18.462046137869997
18097322100,NA,2027,19.567964221752952
18097322100,NA,2028,20.726648611061634
18097322300,NA,2024,10.663102592876415
18097322300,NA,2025,14.845070212609194
18097322300,NA,2026,14.004030847083182
18097322300,NA,2027,12.752687775646075
18097322300,NA,2028,16.359837169494917
18097322400,NA,2024,9.324792600085768
18097322400,NA,2025,7.8063494795091675
18097322400,NA,2026,6.786022583193212
