GEOID,NAME,year,zhvi_forecast
18011810605,NA,2024,240943.37219038376
18011810605,NA,2025,245523.53627122365
18011810605,NA,2026,249168.17681118226
18011810605,NA,2027,252057.8189222227
18011810605,NA,2028,254342.33132027555
18057110805,NA,2024,321330.4917006838
18057110805,NA,2025,323662.86964079435
18057110805,NA,2026,325392.3104994172
18057110805,NA,2027,326672.5608918334
18057110805,NA,2028,327619.1365387302
18057110807,NA,2024,321330.4917006838
18057110807,NA,2025,323662.86964079435
18057110807,NA,2026,325392.3104994172
18057110807,NA,2027,326672.5608918334
18057110807,NA,2028,327619.1365387302
18057110810,NA,2024,321330.4917006838
18057110810,NA,2025,323662.86964079435
18057110810,NA,2026,325392.3104994172
18057110810,NA,2027,326672.5608918334
18057110810,NA,2028,327619.1365387302
18057110813,NA,2024,321330.4917006838
18057110813,NA,2025,323662.86964079435
18057110813,NA,2026,325392.3104994172
18057110813,NA,2027,326672.5608918334
18057110813,NA,2028,327619.1365387302
18057110822,NA,2024,321330.4917006838
18057110822,NA,2025,323662.86964079435
18057110822,NA,2026,325392.3104994172
18057110822,NA,2027,326672.5608918334
18057110822,NA,2028,327619.1365387302
18057111006,NA,2024,315048.2787823894
18057111006,NA,2025,328634.78562390525
18057111006,NA,2026,340767.0511819995
18057111006,NA,2027,351540.85656795953
18057111006,NA,2028,361062.8850245262
18057111101,NA,2024,315048.2787823894
18057111101,NA,2025,328634.78562390525
18057111101,NA,2026,340767.0511819995
18057111101,NA,2027,351540.85656795953
18057111101,NA,2028,361062.8850245262
18057111103,NA,2024,265454.7556539371
18057111103,NA,2025,269995.82415551395
18057111103,NA,2026,273673.71690423647
18057111103,NA,2027,276643.33807744953
18057111103,NA,2028,279035.19303680444
18057111104,NA,2024,315048.2787823894
18057111104,NA,2025,328634.78562390525
18057111104,NA,2026,340767.0511819995
18057111104,NA,2027,351540.85656795953
18057111104,NA,2028,361062.8850245262
18059410801,NA,2024,210217.26956006084
18059410801,NA,2025,214477.03923510728
18059410801,NA,2026,217938.2199235005
18059410801,NA,2027,220740.30488152907
18059410801,NA,2028,223002.22058307735
18059410802,NA,2024,277547.9898282638
18059410802,NA,2025,277372.2426085493
18059410802,NA,2026,277248.99160234135
18059410802,NA,2027,277162.5421373004
18059410802,NA,2028,277101.89879319904
18059410901,NA,2024,209621.6264271129
18059410901,NA,2025,213829.79078675542
18059410901,NA,2026,217244.92735104382
18059410901,NA,2027,220006.4667538355
18059410901,NA,2028,222233.06011867637
18059410902,NA,2024,209922.59769184142
18059410902,NA,2025,214209.47620715725
18059410902,NA,2026,217695.45969930556
18059410902,NA,2027,220519.81825794344
18059410902,NA,2028,222801.4460465626
18063210106,NA,2024,399420.08260037145
18063210106,NA,2025,404770.74185623607
18063210106,NA,2026,408838.2300246617
18063210106,NA,2027,411921.3306028208
18063210106,NA,2028,414253.1989711194
18063210107,NA,2024,401172.06636255764
18063210107,NA,2025,406540.31707778055
18063210107,NA,2026,410619.43022886134
18063210107,NA,2027,413710.0183041347
18063210107,NA,2028,416046.5509121427
18063210108,NA,2024,271306.56890121003
18063210108,NA,2025,275356.4611446836
18063210108,NA,2026,278565.30393186066
18063210108,NA,2027,281100.4547044762
18063210108,NA,2028,283098.85238887597
18063210109,NA,2024,271306.56890121003
18063210109,NA,2025,275356.4611446836
18063210109,NA,2026,278565.30393186066
18063210109,NA,2027,281100.4547044762
18063210109,NA,2028,283098.85238887597
18063210607,NA,2024,250604.09680165746
18063210607,NA,2025,255274.758619786
18063210607,NA,2026,258990.2930577674
18063210607,NA,2027,261935.46490705022
18063210607,NA,2028,264263.471294729
18063210608,NA,2024,250604.09680165746
18063210608,NA,2025,255274.758619786
18063210608,NA,2026,258990.2930577674
18063210608,NA,2027,261935.46490705022
18063210608,NA,2028,264263.471294729
18063210611,NA,2024,271306.56890121003
18063210611,NA,2025,275356.4611446836
18063210611,NA,2026,278565.30393186066
18063210611,NA,2027,281100.4547044762
18063210611,NA,2028,283098.85238887597
18063210614,NA,2024,250604.09680165924
18063210614,NA,2025,255274.75861979145
18063210614,NA,2026,258990.29305777707
18063210614,NA,2027,261935.4649070642
18063210614,NA,2028,264263.47129474726
18063210616,NA,2024,271306.56890121003
18063210616,NA,2025,275356.4611446836
18063210616,NA,2026,278565.30393186066
18063210616,NA,2027,281100.4547044762
18063210616,NA,2028,283098.85238887597
18063210617,NA,2024,271306.56890121003
18063210617,NA,2025,275356.4611446836
18063210617,NA,2026,278565.30393186066
18063210617,NA,2027,281100.4547044762
18063210617,NA,2028,283098.85238887597
18097310104,NA,2024,240943.37219038376
18097310104,NA,2025,245523.53627122365
18097310104,NA,2026,249168.17681118226
18097310104,NA,2027,252057.8189222227
18097310104,NA,2028,254342.33132027555
18097310105,NA,2024,297700.2530341833
18097310105,NA,2025,302550.0906592741
18097310105,NA,2026,306334.8676501292
18097310105,NA,2027,309278.76029500517
18097310105,NA,2028,311562.7928092925
18097310106,NA,2024,246852.77725242573
18097310106,NA,2025,251434.05990125664
18097310106,NA,2026,255099.24277137098
18097310106,NA,2027,258021.27650662704
18097310106,NA,2028,260344.43699507602
18097310108,NA,2024,246870.81144843478
18097310108,NA,2025,251470.99026963647
18097310108,NA,2026,255198.36710277488
18097310108,NA,2027,258208.39046350666
18097310108,NA,2028,260632.60555360283
18097310110,NA,2024,212301.5272225102
18097310110,NA,2025,217779.44314126068
18097310110,NA,2026,222370.0660317569
18097310110,NA,2027,226201.01510605356
18097310110,NA,2028,229387.0420147581
18097310111,NA,2024,212301.5272225102
18097310111,NA,2025,217779.44314126068
18097310111,NA,2026,222370.0660317569
18097310111,NA,2027,226201.01510605356
18097310111,NA,2028,229387.0420147581
18097310112,NA,2024,401172.06636255764
18097310112,NA,2025,406540.31707778055
18097310112,NA,2026,410619.43022886134
18097310112,NA,2027,413710.0183041347
18097310112,NA,2028,416046.5509121427
18097310113,NA,2024,401091.2168894764
18097310113,NA,2025,406458.6325819483
18097310113,NA,2026,410537.1825664334
18097310113,NA,2027,413627.39798105496
18097310113,NA,2028,415963.68960346415
18097310201,NA,2024,240943.37219038376
18097310201,NA,2025,245523.53627122365
18097310201,NA,2026,249168.17681118226
18097310201,NA,2027,252057.8189222227
18097310201,NA,2028,254342.33132027555
18097310203,NA,2024,290989.5578726689
18097310203,NA,2025,295806.6962564292
18097310203,NA,2026,299573.7545470557
18097310203,NA,2027,302509.8416608079
18097310203,NA,2028,304792.3923859062
18097310204,NA,2024,242252.23797151778
18097310204,NA,2025,246833.24508813515
18097310204,NA,2026,250483.13119746067
18097310204,NA,2027,253380.662727513
18097310204,NA,2028,255674.41809571002
18097310305,NA,2024,212301.5272225102
